CDSS场景,支撑实体数量,支撑实体类型,正式CDSS关系数,疾病名称,疾病大类,疾病编码,能力判断,证据节点数量
风险分层,1,RiskStratification,0,心力衰竭,,DIS-CARD-HF,可展示但需补强,3051
治疗方案,8,TreatmentPlan、RecommendationStatement,0,心力衰竭,,DIS-CARD-HF,可用于CDSS展示,3051
药物推荐,16,Medication,0,心力衰竭,,DIS-CARD-HF,可用于CDSS展示,3051
手术/操作推荐,9,Procedure,0,心力衰竭,,DIS-CARD-HF,可用于CDSS展示,3051
禁忌与风险预警,4,Contraindication、ClinicalRule,0,心力衰竭,,DIS-CARD-HF,可用于CDSS展示,3051
随访,1,FollowUp,0,心力衰竭,,DIS-CARD-HF,可展示但需补强,3051
预后/预防,1,Prognosis、Prevention,0,心力衰竭,,DIS-CARD-HF,可展示但需补强,3051
并发症管理,10,Complication,0,心力衰竭,,DIS-CARD-HF,可用于CDSS展示,3051
疑似疾病识别,5,Symptom、Sign,0,心肌梗死后心力衰竭,,DIS-CARD-HF-POST-MI,可用于CDSS展示,27
诊断建议,6,DiagnosisCriteria、DiagnosisCriteriaComponent、ClinicalRule,0,心肌梗死后心力衰竭,,DIS-CARD-HF-POST-MI,可用于CDSS展示,27
鉴别诊断,0,DifferentialDiagnosis,0,心肌梗死后心力衰竭,,DIS-CARD-HF-POST-MI,缺口,27
推荐检查,3,Exam、ExamIndicator,0,心肌梗死后心力衰竭,,DIS-CARD-HF-POST-MI,可用于CDSS展示,27
推荐检验,0,LabTest、LabTestIndicator,0,心肌梗死后心力衰竭,,DIS-CARD-HF-POST-MI,缺口,27
风险分层,0,RiskStratification,0,心肌梗死后心力衰竭,,DIS-CARD-HF-POST-MI,缺口,27
治疗方案,1,TreatmentPlan、RecommendationStatement,0,心肌梗死后心力衰竭,,DIS-CARD-HF-POST-MI,可展示但需补强,27
药物推荐,0,Medication,0,心肌梗死后心力衰竭,,DIS-CARD-HF-POST-MI,缺口,27
手术/操作推荐,0,Procedure,0,心肌梗死后心力衰竭,,DIS-CARD-HF-POST-MI,缺口,27
禁忌与风险预警,4,Contraindication、ClinicalRule,0,心肌梗死后心力衰竭,,DIS-CARD-HF-POST-MI,可用于CDSS展示,27
随访,2,FollowUp,0,心肌梗死后心力衰竭,,DIS-CARD-HF-POST-MI,可展示但需补强,27
预后/预防,1,Prognosis、Prevention,0,心肌梗死后心力衰竭,,DIS-CARD-HF-POST-MI,可展示但需补强,27
并发症管理,1,Complication,0,心肌梗死后心力衰竭,,DIS-CARD-HF-POST-MI,可展示但需补强,27
疑似疾病识别,31,Symptom、Sign,0,急性心力衰竭,,DIS-CARD-HF-AHF,可用于CDSS展示,280
诊断建议,9,DiagnosisCriteria、DiagnosisCriteriaComponent、ClinicalRule,0,急性心力衰竭,,DIS-CARD-HF-AHF,可用于CDSS展示,280
鉴别诊断,0,DifferentialDiagnosis,0,急性心力衰竭,,DIS-CARD-HF-AHF,缺口,280
推荐检查,3,Exam、ExamIndicator,0,急性心力衰竭,,DIS-CARD-HF-AHF,可用于CDSS展示,280
推荐检验,6,LabTest、LabTestIndicator,0,急性心力衰竭,,DIS-CARD-HF-AHF,可用于CDSS展示,280
风险分层,0,RiskStratification,0,急性心力衰竭,,DIS-CARD-HF-AHF,缺口,280
治疗方案,4,TreatmentPlan、RecommendationStatement,0,急性心力衰竭,,DIS-CARD-HF-AHF,可用于CDSS展示,280
药物推荐,14,Medication,0,急性心力衰竭,,DIS-CARD-HF-AHF,可用于CDSS展示,280
手术/操作推荐,4,Procedure,0,急性心力衰竭,,DIS-CARD-HF-AHF,可用于CDSS展示,280
禁忌与风险预警,6,Contraindication、ClinicalRule,0,急性心力衰竭,,DIS-CARD-HF-AHF,可用于CDSS展示,280
随访,2,FollowUp,0,急性心力衰竭,,DIS-CARD-HF-AHF,可展示但需补强,280
预后/预防,1,Prognosis、Prevention,0,急性心力衰竭,,DIS-CARD-HF-AHF,可展示但需补强,280
并发症管理,6,Complication,0,急性心力衰竭,,DIS-CARD-HF-AHF,可用于CDSS展示,280
疑似疾病识别,29,Symptom、Sign,0,慢性心力衰竭,,DIS-CARD-HF-CHF,可用于CDSS展示,308
诊断建议,20,DiagnosisCriteria、DiagnosisCriteriaComponent、ClinicalRule,0,慢性心力衰竭,,DIS-CARD-HF-CHF,可用于CDSS展示,308
鉴别诊断,0,DifferentialDiagnosis,0,慢性心力衰竭,,DIS-CARD-HF-CHF,缺口,308
推荐检查,9,Exam、ExamIndicator,0,慢性心力衰竭,,DIS-CARD-HF-CHF,可用于CDSS展示,308
推荐检验,8,LabTest、LabTestIndicator,0,慢性心力衰竭,,DIS-CARD-HF-CHF,可用于CDSS展示,308
风险分层,1,RiskStratification,0,慢性心力衰竭,,DIS-CARD-HF-CHF,可展示但需补强,308
治疗方案,2,TreatmentPlan、RecommendationStatement,0,慢性心力衰竭,,DIS-CARD-HF-CHF,可展示但需补强,308
药物推荐,13,Medication,0,慢性心力衰竭,,DIS-CARD-HF-CHF,可用于CDSS展示,308
手术/操作推荐,4,Procedure,0,慢性心力衰竭,,DIS-CARD-HF-CHF,可用于CDSS展示,308
禁忌与风险预警,13,Contraindication、ClinicalRule,0,慢性心力衰竭,,DIS-CARD-HF-CHF,可用于CDSS展示,308
随访,2,FollowUp,0,慢性心力衰竭,,DIS-CARD-HF-CHF,可展示但需补强,308
预后/预防,1,Prognosis、Prevention,0,慢性心力衰竭,,DIS-CARD-HF-CHF,可展示但需补强,308
并发症管理,5,Complication,0,慢性心力衰竭,,DIS-CARD-HF-CHF,可用于CDSS展示,308
疑似疾病识别,5,Symptom、Sign,0,透析患者慢性心力衰竭,,DIS-CARD-HF-DIALYSIS-CHF,可用于CDSS展示,21
诊断建议,6,DiagnosisCriteria、DiagnosisCriteriaComponent、ClinicalRule,0,透析患者慢性心力衰竭,,DIS-CARD-HF-DIALYSIS-CHF,可用于CDSS展示,21
鉴别诊断,0,DifferentialDiagnosis,0,透析患者慢性心力衰竭,,DIS-CARD-HF-DIALYSIS-CHF,缺口,21
推荐检查,3,Exam、ExamIndicator,0,透析患者慢性心力衰竭,,DIS-CARD-HF-DIALYSIS-CHF,可用于CDSS展示,21
推荐检验,0,LabTest、LabTestIndicator,0,透析患者慢性心力衰竭,,DIS-CARD-HF-DIALYSIS-CHF,缺口,21
风险分层,0,RiskStratification,0,透析患者慢性心力衰竭,,DIS-CARD-HF-DIALYSIS-CHF,缺口,21
治疗方案,1,TreatmentPlan、RecommendationStatement,0,透析患者慢性心力衰竭,,DIS-CARD-HF-DIALYSIS-CHF,可展示但需补强,21
药物推荐,3,Medication,0,透析患者慢性心力衰竭,,DIS-CARD-HF-DIALYSIS-CHF,可用于CDSS展示,21
手术/操作推荐,0,Procedure,0,透析患者慢性心力衰竭,,DIS-CARD-HF-DIALYSIS-CHF,缺口,21
禁忌与风险预警,4,Contraindication、ClinicalRule,0,透析患者慢性心力衰竭,,DIS-CARD-HF-DIALYSIS-CHF,可用于CDSS展示,21
随访,2,FollowUp,0,透析患者慢性心力衰竭,,DIS-CARD-HF-DIALYSIS-CHF,可展示但需补强,21
预后/预防,1,Prognosis、Prevention,0,透析患者慢性心力衰竭,,DIS-CARD-HF-DIALYSIS-CHF,可展示但需补强,21
并发症管理,1,Complication,0,透析患者慢性心力衰竭,,DIS-CARD-HF-DIALYSIS-CHF,可展示但需补强,21
