disease_code,disease,plan_code,plan_name,relation,target_code,target_name,source,status
DIS-CARD-CM-HCM,肥厚型心肌病,PLAN-CARD-C73CCA666CCA,肥厚型心肌病治疗方案,includes_medication,MED-CARD-C9175F150C3D,美托洛尔,疾病既有药物治疗关系,linked
DIS-CARD-CM-HCM,肥厚型心肌病,PLAN-CARD-C73CCA666CCA,肥厚型心肌病治疗方案,includes_medication,MED-CARD-C685CE7163F5,维拉帕米,疾病既有药物治疗关系,linked
DIS-CARD-CM-HCM,肥厚型心肌病,PLAN-CARD-C73CCA666CCA,肥厚型心肌病治疗方案,includes_medication,MED-CARD-86C60E295E1A,地尔硫䓬,疾病既有药物治疗关系,linked
DIS-CARD-CM-HCM,肥厚型心肌病,PLAN-CARD-C73CCA666CCA,肥厚型心肌病治疗方案,includes_medication,MED-CARD-2CF15595A00F,比索洛尔,疾病既有药物治疗关系,linked
DIS-CARD-CM-HCM,肥厚型心肌病,PLAN-CARD-C73CCA666CCA,肥厚型心肌病治疗方案,includes_medication,CARD-SKELETON-20260709-MEDICATION-DDAA1C07D618EDC7,β受体拮抗剂,疾病既有药物治疗关系,linked
DIS-CARD-CM-HCM,肥厚型心肌病,PLAN-CARD-C73CCA666CCA,肥厚型心肌病治疗方案,includes_medication,MED-NDHP-CCB,非二氢吡啶类钙通道阻滞剂,疾病既有药物治疗关系,linked
DIS-CARD-CM-HCM,肥厚型心肌病,PLAN-CARD-C73CCA666CCA,肥厚型心肌病治疗方案,includes_medication,MED-CARD-55157DA54154,硝酸酯类药物,疾病既有药物治疗关系,linked
DIS-CARD-CM-HCM,肥厚型心肌病,PLAN-CARD-C73CCA666CCA,肥厚型心肌病治疗方案,includes_medication,MED-DIURETIC,利尿剂,疾病既有药物治疗关系,linked
DIS-CARD-CM-HCM,肥厚型心肌病,PLAN-CARD-C73CCA666CCA,肥厚型心肌病治疗方案,includes_procedure,PROC-HEART-TRANSPLANT,心脏移植,疾病既有手术/操作治疗关系,linked
DIS-CARD-CM-HCM,肥厚型心肌病,PLAN-CARD-C73CCA666CCA,肥厚型心肌病治疗方案,includes_procedure,CARD-SKELETON-20260709-PROCEDURE-B59B1385BA9A601D,植入型心律转复除颤器,疾病既有手术/操作治疗关系,linked
DIS-CARD-CM-HCM,肥厚型心肌病,PLAN-CARD-C73CCA666CCA,肥厚型心肌病治疗方案,includes_procedure,CARD-SKELETON-20260709-PROCEDURE-A7DC95F190D3C3A1,射频消融,疾病既有手术/操作治疗关系,linked
DIS-CARD-CM-HCM,肥厚型心肌病,PLAN-CARD-C73CCA666CCA,肥厚型心肌病治疗方案,includes_procedure,PROC-SEPTAL-MYECTOMY,室间隔切除术,疾病既有手术/操作治疗关系,linked
DIS-CARD-CM-HCM,肥厚型心肌病,PLAN-CARD-C73CCA666CCA,肥厚型心肌病治疗方案,includes_procedure,PROC-ICD,埋藏式心脏复律除颤器,疾病既有手术/操作治疗关系,linked
DIS-CARD-CM-HCM,肥厚型心肌病,PLAN-CARD-C73CCA666CCA,肥厚型心肌病治疗方案,includes_procedure,PROC-CARD-TEXT-D2C1F9E289,心脏再同步治疗,疾病既有手术/操作治疗关系,linked
DIS-CARD-CM-HCM,肥厚型心肌病,PLAN-CARD-C73CCA666CCA,肥厚型心肌病治疗方案,includes_procedure,PROC-CARD-TEXT-D9A9D30763,植入式心律转复除颤器,疾病既有手术/操作治疗关系,linked
DIS-CARD-CM-HCM,肥厚型心肌病,PLAN-CARD-C73CCA666CCA,肥厚型心肌病治疗方案,has_treatment_component,PLAN-CARD-A1C4E6332D38,抗凝治疗,路径既有子治疗方案,linked
DIS-CARD-CM-HCM,肥厚型心肌病,PLAN-CARD-C73CCA666CCA,肥厚型心肌病治疗方案,has_treatment_component,PLAN-CARD-A1C4E6332D38,抗凝治疗,路径既有子治疗方案,linked
DIS-CARD-CM-RCM,限制型心肌病,PLAN-CARD-8419002B35F1,限制型心肌病治疗方案,includes_medication,MED-DIURETIC,利尿剂,疾病既有药物治疗关系,linked
DIS-CARD-CM-RCM,限制型心肌病,PLAN-CARD-8419002B35F1,限制型心肌病治疗方案,includes_medication,MED-NDHP-CCB,非二氢吡啶类钙通道阻滞剂,疾病既有药物治疗关系,linked
DIS-CARD-CM-RCM,限制型心肌病,PLAN-CARD-8419002B35F1,限制型心肌病治疗方案,includes_medication,CARD-SKELETON-20260709-MEDICATION-DDAA1C07D618EDC7,β受体拮抗剂,疾病既有药物治疗关系,linked
DIS-CARD-CM-RCM,限制型心肌病,PLAN-CARD-8419002B35F1,限制型心肌病治疗方案,includes_medication,MED-CARD-TEXT-28E925C6DE,钙通道阻滞剂,疾病既有药物治疗关系,linked
DIS-CARD-CM-RCM,限制型心肌病,PLAN-CARD-8419002B35F1,限制型心肌病治疗方案,includes_medication,MED-CARD-TEXT-93710567D3,洋地黄类药物,疾病既有药物治疗关系,linked
DIS-CARD-CM-RCM,限制型心肌病,PLAN-CARD-8419002B35F1,限制型心肌病治疗方案,includes_procedure,PROC-ICD,埋藏式心脏复律除颤器,疾病既有手术/操作治疗关系,linked
DIS-CARD-CM-RCM,限制型心肌病,PLAN-CARD-8419002B35F1,限制型心肌病治疗方案,includes_procedure,CARD-SKELETON-20260709-PROCEDURE-F93FB044FE443C59,心脏起搏器,疾病既有手术/操作治疗关系,linked
DIS-CARD-CM-RCM,限制型心肌病,PLAN-CARD-8419002B35F1,限制型心肌病治疗方案,includes_procedure,CARD-SKELETON-20260709-PROCEDURE-3B8C0A206F202C65,起搏器,疾病既有手术/操作治疗关系,linked
DIS-CARD-CM-RCM,限制型心肌病,PLAN-CARD-8419002B35F1,限制型心肌病治疗方案,includes_procedure,PROC-HEART-TRANSPLANT,心脏移植,疾病既有手术/操作治疗关系,linked
DIS-CARD-CM-RCM,限制型心肌病,PLAN-CARD-8419002B35F1,限制型心肌病治疗方案,has_treatment_component,PLAN-CARD-A1C4E6332D38,抗凝治疗,路径既有子治疗方案,linked
DIS-CARD-CM-RCM,限制型心肌病,PLAN-CARD-8419002B35F1,限制型心肌病治疗方案,has_treatment_component,PLAN-CARD-A1C4E6332D38,抗凝治疗,路径既有子治疗方案,linked
