disease_code,disease_name,entity_type,evidence_levels,evidence_texts,guideline_names,node_code,node_name,pages,recommendation_levels
DIS-CARD-VHD-MR,二尖瓣反流,Procedure,[],[],[],PROC-CARD-E9ADC25A25E3,经皮冠状动脉介入治疗,[],[]
DIS-CARD-VHD-MR,二尖瓣反流,TreatmentPlan,[],[],[],PLAN-CARD-TEXT-7CC38FBA6F,复律治疗,[],[]
DIS-CARD-VHD-MR,二尖瓣反流,TreatmentPlan,[],[],[],PLAN-CARD-A1C4E6332D38,抗凝治疗,[],[]
DIS-CARD-VHD-MR,二尖瓣反流,TreatmentPlan,[],[],[],PLAN-CARD-TEXT-655F4B37BC,控制心室率,[],[]
DIS-CARD-VHD-MR,二尖瓣反流,TreatmentPlan,[],[],[],PLAN-CARD-TEXT-BDE62A3BE0,降压治疗,[],[]
DIS-CARD-VHD-MS,二尖瓣狭窄,ClinicalRule,[],[],[],CARD-SKELETON-FULL-20260709-DIFFERENTIALDIAGNOSIS-E0811F4F81ED2CDB,超声心动图有助于鉴别相对性二尖瓣狭窄、左房黏液瘤、三尖瓣狭窄和原发性肺动脉高压等,[],[]
DIS-CARD-VHD-MS,二尖瓣狭窄,Medication,[],[],[],CARD-SKELETON-20260709-MEDICATION-DDAA1C07D618EDC7,β受体拮抗剂,[],[]
DIS-CARD-VHD-MS,二尖瓣狭窄,Medication,[],[],[],MED-DIURETIC,利尿剂,[],[]
DIS-CARD-VHD-MS,二尖瓣狭窄,Medication,[],[],[],MED-CARD-81B5F958C0F3,华法林,[],[]
DIS-CARD-VHD-MS,二尖瓣狭窄,Medication,[],[],[],MED-CARD-86C60E295E1A,地尔硫䓬,[],[]
DIS-CARD-VHD-MS,二尖瓣狭窄,Medication,[],[],[],MED-CARD-62498B0FBDC2,地高辛,[],[]
DIS-CARD-VHD-MS,二尖瓣狭窄,Medication,[],[],[],MED-CARD-TEXT-EE219280A7,抗凝药物,[],[]
DIS-CARD-VHD-MS,二尖瓣狭窄,Medication,[],[],[],MED-CARD-TEXT-4E798D0AB2,抗血小板药物,[],[]
DIS-CARD-VHD-MS,二尖瓣狭窄,Medication,[],[],[],MED-CARD-TEXT-93710567D3,洋地黄类药物,[],[]
DIS-CARD-VHD-MS,二尖瓣狭窄,Medication,[],[],[],MED-CARD-55157DA54154,硝酸酯类药物,[],[]
DIS-CARD-VHD-MS,二尖瓣狭窄,Medication,[],[],[],MED-CARD-TEXT-28E925C6DE,钙通道阻滞剂,[],[]
DIS-CARD-VHD-MS,二尖瓣狭窄,Medication,[],[],[],MED-NDHP-CCB,非二氢吡啶类钙通道阻滞剂,[],[]
DIS-CARD-VHD-MS,二尖瓣狭窄,Procedure,[],[],[],CARD-SKELETON-20260709-PROCEDURE-FA9CF9F5BBDD3E3D,外科手术,[],[]
