adj_code,rec_code,category,rel_count
SRCADJ-CARD-BULK-1F872EDD223A83C5,REC-2D007FEA16344C82,心肌病,8
SRCADJ-CARD-BULK-1F94707FC5A8B719,REC-F8156A5B1410D1E6,心肌病,8
SRCADJ-CARD-BULK-D58F72F477A73E2C,REC-C9B425737E91365E,心肌病,8
SRCADJ-CARD-BULK-00B32C0E48EAE400,REC-C77E0F63DCED7C1F,心肌病,8
SRCADJ-CARD-BULK-BB1A9999251F003A,REC-CDAF42A2A711A702,心肌病,8
SRCADJ-CARD-BULK-FEC17CCF11A0BBF8,REC-2DDCA667F430F3FA,心肌病,8
SRCADJ-CARD-BULK-6C3BDF647C280614,REC-6E8A2DF6F43CE770,心肌病,8
SRCADJ-CARD-BULK-25B0C82D565A5062,REC-9A9EE80CD7A841BD,心肌病,8
SRCADJ-CARD-BULK-3FB1F3A99514724A,REC-5DAF220EA350E2BF,心肌病,8
SRCADJ-CARD-BULK-ECFF32BC7A4A0ADE,REC-B8DC40956B726469,心律失常,8
SRCADJ-CARD-BULK-7DA4149500992B42,REC-EABA02F1D31DA710,心律失常,8
SRCADJ-CARD-BULK-7759C38CD250A08E,REC-0E671D461545F253,心律失常,8
SRCADJ-CARD-BULK-9CE74CB455A16DDE,REC-368BDCEFBC65FAC9,心律失常,8
SRCADJ-CARD-BULK-1AA453630BD4C477,REC-45BF0572CB073F1B,心律失常,8
SRCADJ-CARD-BULK-0C91895AF9F62AD4,REC-069462846083A451,心律失常,8
SRCADJ-CARD-BULK-28F11F4D0060DCC5,REC-57BFB7E576312074,心律失常,8
SRCADJ-CARD-BULK-793132478226B3AA,REC-87906627D928CD1A,心律失常,8
SRCADJ-CARD-BULK-703F2FA7D64AEC63,REC-194C9DD47E025699,心律失常,8
SRCADJ-CARD-BULK-DA67EA7CEC92FE47,REC-CF15CDA1C1D3FADC,心律失常,8
SRCADJ-CARD-BULK-A90305E98534E7F6,REC-2C459FB26708DAD8,心律失常,8
SRCADJ-CARD-BULK-6F56EB746D35A7FC,REC-503DA5FFF8F7E70B,心律失常,8
SRCADJ-CARD-BULK-5DBA35F1F3B1EC8C,REC-0CEA840B84C9A729,心律失常,8
SRCADJ-CARD-BULK-5ECA1F71071D6490,REC-07471D46DB30A44D,心律失常,8
SRCADJ-CARD-BULK-76A687595DB3E422,REC-F94C26967FD75E99,心律失常,8
SRCADJ-CARD-BULK-3FD5F7A3F2B06B97,REC-B930DD35D801928C,心律失常,8
SRCADJ-CARD-BULK-A0821183433543B6,REC-8635439FB569D904,心律失常,8
SRCADJ-CARD-BULK-02AFFA551CF0A762,REC-1D8686DF38D53C27,心律失常,8
SRCADJ-CARD-BULK-3A84DEFC670ED9C9,REC-53005B26BDC41745,心律失常,8
SRCADJ-CARD-BULK-A6BE358E42B59582,REC-7DF8568675FB94DD,心律失常,8
SRCADJ-CARD-BULK-7A0F1A63D9A579E7,REC-CB3AB683A1DBE1B3,心律失常,8
SRCADJ-CARD-BULK-2E9898C2C82585E8,REC-2803D585674F1A5A,心律失常,8
SRCADJ-CARD-BULK-EB6DAE0CA1F584B6,REC-9923170206C22876,冠心病,8
SRCADJ-CARD-BULK-CACFEE9CB44E9A92,REC-B070F65A59B53524,冠心病,8
SRCADJ-CARD-BULK-95EC2A759BE25631,REC-50DB7AB6BC0A0C92,冠心病,8
SRCADJ-CARD-BULK-744D331666D37E97,REC-C83E4B8CE8F5D2C3,心肌病,8
SRCADJ-CARD-BULK-D1284032B6D27678,REC-2B0A860969D0CB18,心肌病,8
SRCADJ-CARD-BULK-9BA57F1328B2E8D5,REC-B8EF017F7D259D97,心肌病,8
SRCADJ-CARD-BULK-ED3BCEA0AB6DB0D2,REC-4160846401ECB617,心肌病,8
SRCADJ-CARD-BULK-2296FEEE959198F1,REC-95D67DD2BBD374A9,心肌病,8
SRCADJ-CARD-BULK-E4B29D431C2224A8,REC-F3F15E6BACFFF5B3,心律失常,8
SRCADJ-CARD-BULK-CB1AF3D1E91148E3,REC-3993D6D74CED11F4,心律失常,8
SRCADJ-CARD-BULK-0AF26BA164C996DD,REC-E2138BD00608DA12,心律失常,8
SRCADJ-CARD-BULK-4F0B86BAF6FB91E7,REC-448ED7FBC949A6A0,心律失常,8
SRCADJ-CARD-BULK-28F0DA1C3245A881,REC-373A59A06A078858,心律失常,8
SRCADJ-CARD-BULK-10A3A74DFEDAE104,REC-196DB89B6F2507F4,心律失常,8
SRCADJ-CARD-BULK-7BE9DE130E342628,REC-2146FE591FCE5050,心律失常,8
SRCADJ-CARD-BULK-6D671B2105A903F9,REC-C42024AEC5035400,冠心病,8
SRCADJ-CARD-BULK-6BEE43C2237D8EA7,REC-473085E274C198B4,冠心病,8
SRCADJ-CARD-BULK-427137419E6BBBFE,REC-66E917470CF948BD,冠心病,8
SRCADJ-CARD-BULK-5E35883252DA3622,REC-DC7A43CC78F92C5E,心律失常,8
