疾病大类,疾病编码,疾病名称,诊断角色,父级疾病,下级分型数,标准诊断状态,标准诊断说明,定义,症状,体征,危险因素,并发症,检查项目,检验项目,检查发现,检验细项,诊断标准,诊断明细,鉴别诊断,鉴别规则,风险分层,治疗方案,药物动作,手术/操作动作,其他治疗动作,随访,预后,预防,证据,指南,正式推荐,硬缺口,提醒
心律失常,DIS-CARD-ARR-BRUGADA,Brugada综合征,independent_disease,,0,通过,存在精确标准诊断：Brugada综合征(STDDX-e6ac1db8a9f46396074bde9a1bea4bf6),1,4,4,9,3,0,0,50,0,1,3,0,0,1,6,9,5,0,1,1,0,75,5,3,,分型缺检查/检验项目
心律失常,DIS-CARD-ARR-AVB1,一度房室传导阻滞,independent_disease,,0,阻断,具体诊断/分型缺少标准诊断映射，不能回填EMR。,1,6,2,0,5,0,0,36,0,2,9,0,0,1,1,0,0,2,2,2,0,26,5,3,,分型缺检查/检验项目
心律失常,DIS-CARD-ARR-AVB3,三度房室传导阻滞,independent_disease,,0,阻断,具体诊断/分型缺少标准诊断映射，不能回填EMR。,1,6,2,4,8,0,0,17,0,2,9,1,7,1,1,2,2,0,2,1,0,72,6,3,,分型缺检查/检验项目
心律失常,DIS-CARD-ARR-AVB2,二度房室传导阻滞,independent_disease,,0,阻断,具体诊断/分型缺少标准诊断映射，不能回填EMR。,1,3,1,0,2,0,0,18,0,2,11,0,0,1,2,2,3,1,2,2,0,12,4,3,,分型缺检查/检验项目
心律失常,DIS-CARD-ARR-CPVT,儿茶酚胺敏感性多形性室性心动过速,independent_disease,,0,通过,存在精确标准诊断：儿茶酚胺敏感性多形性室性心动过速(STDDX-c2d30e3074b0d9377477293cc5110bdf),1,4,3,12,4,0,0,50,0,1,3,0,0,1,4,6,4,0,1,1,0,81,4,3,,分型缺检查/检验项目
心律失常,DIS-CARD-ARR-SVT,室上性心动过速,broad_diagnosis,,1,通过,存在精确标准诊断：室上性心动过速(STDDX-167027eceaa9fecab1c767841a43ff24),1,10,2,8,6,0,0,30,0,1,2,9,10,0,4,12,5,2,1,1,0,213,7,3,,
心律失常,DIS-CARD-ARR-VA,室性心律失常,independent_disease,,0,通过,存在精确标准诊断：室性心律失常(STDDX-7bd71b518ebbc59dc61908754ec43aa9),1,8,6,11,5,0,0,54,7,1,3,0,0,1,5,11,7,0,1,1,0,277,7,3,,分型缺检查/检验项目
心律失常,DIS-CARD-ARR-PVC,室性期前收缩,independent_disease,,0,通过,存在精确标准诊断：室性期前收缩(STDDX-727fc564bbbd62127f73fcdbc01d69cf),1,15,15,16,7,0,0,50,11,1,3,0,0,1,7,20,6,0,1,1,0,300,5,3,,分型缺检查/检验项目
心律失常,DIS-CARD-ARR-TDP,尖端扭转型室性心动过速,independent_disease,,0,通过,存在精确标准诊断：尖端扭转型室性心动过速(STDDX-6a979f3b09dc8980068cdc75554b65fa),1,4,1,10,2,0,0,41,4,1,3,0,0,1,5,11,6,0,1,1,0,66,5,3,,分型缺检查/检验项目
心律失常,DIS-CARD-ARR-VF,心室扑动与心室颤动,independent_disease,,0,通过,存在精确标准诊断：心室颤动和扑动(STDDX-6459f2fdecf1ccba589dd1134f154460),1,14,15,16,8,0,0,49,4,1,3,1,1,1,9,21,8,0,1,1,0,451,5,3,,分型缺检查/检验项目
心律失常,DIS-CARD-ARR-AFL,心房扑动,independent_disease,,0,通过,存在精确标准诊断：心房扑动(STDDX-c666dc0f60205f7f4402e7f6133d8576),1,13,14,18,12,0,0,41,3,1,1,4,6,1,6,20,8,0,1,1,0,358,8,3,,分型缺检查/检验项目
心律失常,DIS-CARD-ARR-AF,心房颤动,independent_disease,,0,通过,存在精确标准诊断：心房颤动(STDDX-c0cfdedddfa6ebfb855672794ca27c6b),1,20,18,22,18,0,0,65,8,1,3,6,6,3,10,32,13,2,1,1,0,2296,18,4,,分型缺检查/检验项目
心律失常,DIS-CARD-SCD-SUDDEN,心脏性猝死,independent_disease,,0,阻断,具体诊断/分型缺少标准诊断映射，不能回填EMR。,1,8,12,16,9,0,0,54,6,1,3,0,0,1,6,12,11,0,1,1,0,485,5,2,,分型缺检查/检验项目
心律失常,DIS-CARD-SCD-ARREST,心脏骤停,independent_disease,,0,阻断,具体诊断/分型缺少标准诊断映射，不能回填EMR。,1,9,10,15,7,0,0,45,6,1,3,1,1,1,7,12,8,1,1,1,0,334,5,2,,分型缺检查/检验项目
心律失常,DIS-CARD-ARR-AVB,房室传导阻滞,independent_disease,,0,通过,存在精确标准诊断：房室传导阻滞(STDDX-e598f7aaf1140cc7786fdad87633114d),1,17,19,11,13,0,0,51,9,2,9,2,11,1,5,10,8,0,1,1,0,445,6,3,,分型缺检查/检验项目
心律失常,DIS-CARD-ARR-AVRT,房室折返性心动过速,independent_disease,,0,通过,存在精确标准诊断：房室折返性心动过速(STDDX-265555965e6a44ac0b8ea65f7a401296),1,8,1,6,5,0,0,30,0,1,1,4,6,0,5,6,5,2,1,1,0,124,7,3,,分型缺检查/检验项目
