CDSS场景,支撑实体数量,支撑实体类型,正式CDSS关系数,疾病名称,疾病大类,疾病编码,能力判断,证据节点数量
鉴别诊断,4,DifferentialDiagnosis,0,急性心肌梗死,,DIS-CARD-CAD-AMI,可用于CDSS展示,1780
推荐检查,16,Exam、ExamIndicator,0,急性心肌梗死,,DIS-CARD-CAD-AMI,可用于CDSS展示,1780
推荐检验,15,LabTest、LabTestIndicator,0,急性心肌梗死,,DIS-CARD-CAD-AMI,可用于CDSS展示,1780
风险分层,2,RiskStratification,0,急性心肌梗死,,DIS-CARD-CAD-AMI,可展示但需补强,1780
治疗方案,9,TreatmentPlan、RecommendationStatement,0,急性心肌梗死,,DIS-CARD-CAD-AMI,可用于CDSS展示,1780
药物推荐,21,Medication,0,急性心肌梗死,,DIS-CARD-CAD-AMI,可用于CDSS展示,1780
手术/操作推荐,10,Procedure,0,急性心肌梗死,,DIS-CARD-CAD-AMI,可用于CDSS展示,1780
禁忌与风险预警,4,Contraindication、ClinicalRule,0,急性心肌梗死,,DIS-CARD-CAD-AMI,可用于CDSS展示,1780
随访,9,FollowUp,0,急性心肌梗死,,DIS-CARD-CAD-AMI,可用于CDSS展示,1780
预后/预防,17,Prognosis、Prevention,0,急性心肌梗死,,DIS-CARD-CAD-AMI,可用于CDSS展示,1780
并发症管理,11,Complication,0,急性心肌梗死,,DIS-CARD-CAD-AMI,可用于CDSS展示,1780
疑似疾病识别,11,Symptom、Sign,0,慢性冠脉综合征,,DIS-CARD-CAD-CCS,可用于CDSS展示,483
诊断建议,5,DiagnosisCriteria、DiagnosisCriteriaComponent、ClinicalRule,0,慢性冠脉综合征,,DIS-CARD-CAD-CCS,可用于CDSS展示,483
鉴别诊断,1,DifferentialDiagnosis,0,慢性冠脉综合征,,DIS-CARD-CAD-CCS,可展示但需补强,483
推荐检查,6,Exam、ExamIndicator,0,慢性冠脉综合征,,DIS-CARD-CAD-CCS,可用于CDSS展示,483
推荐检验,3,LabTest、LabTestIndicator,0,慢性冠脉综合征,,DIS-CARD-CAD-CCS,可用于CDSS展示,483
风险分层,1,RiskStratification,0,慢性冠脉综合征,,DIS-CARD-CAD-CCS,可展示但需补强,483
治疗方案,3,TreatmentPlan、RecommendationStatement,0,慢性冠脉综合征,,DIS-CARD-CAD-CCS,可用于CDSS展示,483
药物推荐,10,Medication,0,慢性冠脉综合征,,DIS-CARD-CAD-CCS,可用于CDSS展示,483
手术/操作推荐,2,Procedure,0,慢性冠脉综合征,,DIS-CARD-CAD-CCS,可展示但需补强,483
禁忌与风险预警,4,Contraindication、ClinicalRule,0,慢性冠脉综合征,,DIS-CARD-CAD-CCS,可用于CDSS展示,483
随访,1,FollowUp,0,慢性冠脉综合征,,DIS-CARD-CAD-CCS,可展示但需补强,483
预后/预防,1,Prognosis、Prevention,0,慢性冠脉综合征,,DIS-CARD-CAD-CCS,可展示但需补强,483
并发症管理,6,Complication,0,慢性冠脉综合征,,DIS-CARD-CAD-CCS,可用于CDSS展示,483
疑似疾病识别,25,Symptom、Sign,0,稳定型心绞痛,,DIS-CARD-CAD-STABLE-ANGINA,可用于CDSS展示,525
诊断建议,8,DiagnosisCriteria、DiagnosisCriteriaComponent、ClinicalRule,0,稳定型心绞痛,,DIS-CARD-CAD-STABLE-ANGINA,可用于CDSS展示,525
鉴别诊断,2,DifferentialDiagnosis,0,稳定型心绞痛,,DIS-CARD-CAD-STABLE-ANGINA,可展示但需补强,525
推荐检查,12,Exam、ExamIndicator,0,稳定型心绞痛,,DIS-CARD-CAD-STABLE-ANGINA,可用于CDSS展示,525
推荐检验,16,LabTest、LabTestIndicator,0,稳定型心绞痛,,DIS-CARD-CAD-STABLE-ANGINA,可用于CDSS展示,525
风险分层,1,RiskStratification,0,稳定型心绞痛,,DIS-CARD-CAD-STABLE-ANGINA,可展示但需补强,525
治疗方案,4,TreatmentPlan、RecommendationStatement,0,稳定型心绞痛,,DIS-CARD-CAD-STABLE-ANGINA,可用于CDSS展示,525
药物推荐,17,Medication,0,稳定型心绞痛,,DIS-CARD-CAD-STABLE-ANGINA,可用于CDSS展示,525
手术/操作推荐,2,Procedure,0,稳定型心绞痛,,DIS-CARD-CAD-STABLE-ANGINA,可展示但需补强,525
禁忌与风险预警,4,Contraindication、ClinicalRule,0,稳定型心绞痛,,DIS-CARD-CAD-STABLE-ANGINA,可用于CDSS展示,525
随访,12,FollowUp,0,稳定型心绞痛,,DIS-CARD-CAD-STABLE-ANGINA,可用于CDSS展示,525
预后/预防,23,Prognosis、Prevention,0,稳定型心绞痛,,DIS-CARD-CAD-STABLE-ANGINA,可用于CDSS展示,525
