disease_code,disease_name,pathway_element,applicability_status,coverage_status,evidence_count,source_names,missing_reason,solution
DIS-CARD-VHD-MULTI,多瓣膜病,etiology,required,covered,8,,,
DIS-CARD-VHD-MULTI,多瓣膜病,pathophysiology,optional,missing,8,,SOURCE_DOES_NOT_COVER,补充该病种权威指南或专家审核资料
DIS-CARD-VHD-MULTI,多瓣膜病,epidemiology,optional,missing,8,,SOURCE_DOES_NOT_COVER,补充该病种权威指南或专家审核资料
DIS-CARD-VHD-MULTI,多瓣膜病,risk_factor,optional,covered,8,,,
DIS-CARD-VHD-MULTI,多瓣膜病,symptom,required,covered,8,,,
DIS-CARD-VHD-MULTI,多瓣膜病,sign,required,covered,8,,,
DIS-CARD-VHD-MULTI,多瓣膜病,exam,required,covered,8,,,
DIS-CARD-VHD-MULTI,多瓣膜病,lab_test,optional,covered,8,,,
DIS-CARD-VHD-MULTI,多瓣膜病,threshold_rule,optional,missing,8,,SOURCE_DOES_NOT_COVER,补充该病种权威指南或专家审核资料
DIS-CARD-VHD-MULTI,多瓣膜病,diagnosis_criteria,required,covered,8,,,
DIS-CARD-VHD-MULTI,多瓣膜病,differential_diagnosis,optional,missing,8,,SOURCE_DOES_NOT_COVER,补充该病种权威指南或专家审核资料
DIS-CARD-VHD-MULTI,多瓣膜病,risk_stratification,optional,missing,8,,SOURCE_DOES_NOT_COVER,补充该病种权威指南或专家审核资料
DIS-CARD-VHD-MULTI,多瓣膜病,treatment_plan,required,covered,8,,,
DIS-CARD-VHD-MULTI,多瓣膜病,medication,optional,missing,8,,SOURCE_DOES_NOT_COVER,补充该病种权威指南或专家审核资料
DIS-CARD-VHD-MULTI,多瓣膜病,procedure,optional,covered,8,,,
DIS-CARD-VHD-MULTI,多瓣膜病,complication,required,covered,8,,,
DIS-CARD-VHD-MULTI,多瓣膜病,prognosis,required,covered,8,,,
DIS-CARD-VHD-MULTI,多瓣膜病,follow_up,required,covered,8,,,
DIS-CARD-VHD-MULTI,多瓣膜病,guideline,required,covered,8,,,
DIS-CARD-VHD-MULTI,多瓣膜病,evidence,required,covered,8,,,
DIS-CARD-VHD-PS,肺动脉瓣狭窄,definition,required,covered,36,,,
DIS-CARD-VHD-PS,肺动脉瓣狭窄,aliases,optional,covered,36,,,
DIS-CARD-VHD-PS,肺动脉瓣狭窄,etiology,required,covered,36,,,
