code,duplicate_replaced_by,entity_type,name,node_element_id,relation_count
SYM-CARD-9BD3C4F11F7E,SYM-CARD-9BD3C4F11F7E,Symptom,夜间阵发性呼吸困难,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:25786,35
SIGN-CARD-E5C7FF8F1850,SIGN-CARD-E5C7FF8F1850,Sign,心音减弱,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:25762,31
EXAM-CARD-3A1C9D9E3AEB,EXAM-CARD-CF719F4B0836,Exam,CTA,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:46931,26
"['PROC-CARD-5558D37982AF', 'PROC-CARD-B4FC5ED6A1F7']",PROC-CARD-5558D37982AF,Procedure,经皮球囊肺动脉瓣成形术,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:46980,25
SYM-CARD-80A8947D5A71,SYM-CARD-80A8947D5A71,Symptom,濒死感,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:25796,25
LAB-CARD-2E1F4EC42626,LAB-CARD-2E1F4EC42626,LabTest,D-二聚体,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:52679,21
DXC-CARD-097806EACD3F,DXC-CARD-097806EACD3F,DiagnosisCriteria,缺血性心肌病诊断标准,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:26230,18
CARD-SKELETON-20260709-LABTEST-70C17E9844CB4791,CARD-SKELETON-20260709-LABTEST-70C17E9844CB4791,LabTest,肌酸激酶,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:36853,16
CARD-SKELETON-FULL-20260709-DEFINITION-8A11A000022C1D3E,DEF-CARD-CADREM-ACS-ABE4D268EA,Definition,急性冠脉综合征定义,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:37220,13
LAB-CARD-STEMI-4BA28B772105,LAB-CARD-STEMI-4BA28B772105,LabTest,肌红蛋白,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:43099,8
"['PROC-PBMV', 'PROC-CARD-74A1F415EBD2']",PROC-PBMV,Procedure,经皮球囊二尖瓣成形术,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:46984,8
EXAM-CARD-CADREM-SILENT-ISCHEMIA-9E41219AEC,CARD-SKELETON-20260709-EXAM-652809DC86CBF5A2,Exam,IVUS,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:43338,7
CARD-SKELETON-20260709-PATHOPHYSIOLOGY-A6BC3CA4689797E0,CARD-SKELETON-20260709-PATHOPHYSIOLOGY-A6BC3CA4689797E0,Pathophysiology,休息时尚能维持心肌血流的供需平衡,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:36891,6
CARD-SKELETON-20260709-PATHOPHYSIOLOGY-0A534ACEC9C357F8,CARD-SKELETON-20260709-PATHOPHYSIOLOGY-0A534ACEC9C357F8,Pathophysiology,使心率增快、心肌张力和收缩力增加等导致心肌氧耗量增加,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:36894,6
CARD-SKELETON-20260709-PATHOPHYSIOLOGY-A24C481F68EAFB08,CARD-SKELETON-20260709-PATHOPHYSIOLOGY-A24C481F68EAFB08,Pathophysiology,在劳力、情绪激动、饱食、受寒等情况下,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:36892,6
CARD-SKELETON-20260709-PATHOPHYSIOLOGY-4D7ADE7CA914FFF2,CARD-SKELETON-20260709-PATHOPHYSIOLOGY-4D7ADE7CA914FFF2,Pathophysiology,心肌供血量相对比较固定,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:36890,6
CARD-SKELETON-20260709-PATHOPHYSIOLOGY-97D6766BAF851B32,CARD-SKELETON-20260709-PATHOPHYSIOLOGY-97D6766BAF851B32,Pathophysiology,心脏负荷突然增加,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:36893,6
CARD-SKELETON-20260709-PATHOPHYSIOLOGY-BFB41F9806344A61,CARD-SKELETON-20260709-PATHOPHYSIOLOGY-BFB41F9806344A61,Pathophysiology,而存在狭窄的冠脉供血却不能相应地增加以满足心肌需求时,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:36895,6
EXAM-CARD-CADREM-STABLE-ANGINA-2B3BD0A8FA,EXAM-HOLTER,Exam,Holter,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:43343,5
EXAM-CARD-CADREM-UA-6595E76160,CARD-SKELETON-FULL-20260709-EXAM-40BD433C71F71D08,Exam,OCT,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:43350,5
CARD-SKELETON-20260709-PROGNOSIS-08BC28CAE394C7CB,CARD-SKELETON-20260709-PROGNOSIS-08BC28CAE394C7CB,Prognosis,但有发生急性心肌梗死或猝死的危险,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:37035,5
CARD-SKELETON-20260709-PROGNOSIS-271C51C93D0E9D81,CARD-SKELETON-20260709-PROGNOSIS-271C51C93D0E9D81,Prognosis,决定预后的主要因素为冠脉病变累及心肌供血的范围和心功能,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:37036,5
CARD-SKELETON-20260709-PROGNOSIS-86C202774C1227AC,CARD-SKELETON-20260709-PROGNOSIS-86C202774C1227AC,Prognosis,国外统计年病死率可高达30%左右,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:37038,5
CARD-SKELETON-20260709-PROGNOSIS-A28F787E608B8600,CARD-SKELETON-20260709-PROGNOSIS-A28F787E608B8600,Prognosis,左冠脉主干病变最为严重,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:37037,5
CARD-SKELETON-20260709-PROGNOSIS-0A00DB3E036D11C3,CARD-SKELETON-20260709-PROGNOSIS-0A00DB3E036D11C3,Prognosis,左前降支病变一般较其他两支冠脉病变预后差,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:37040,5
CARD-SKELETON-20260709-PROGNOSIS-323292330E6C8F8F,CARD-SKELETON-20260709-PROGNOSIS-323292330E6C8F8F,Prognosis,此后依次为3支、2支与单支病变,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:37039,5
EVD-CARD-DEEP-2E78252BA488DA,EVD-CARD-DEEP-644CBD55A70B89,Evidence,心房扑动-心动过速-教材证据-6949-A488DA,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:7097,4
CARD-SKELETON-FULL-20260709-PATHOPHYSIOLOGY-092D9A333F099532,PATH-CARD-CADREM-STABLE-ANGINA-CAC3543953,Pathophysiology,当冠脉狭窄或部分闭塞时,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:38601,4
CARD-SKELETON-FULL-20260709-DEFINITION-488590627E403957,DEF-CARD-CADREM-STABLE-ANGINA-F40CB51F94,Definition,稳定型心绞痛定义,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:37218,3
CARD-SKELETON-FULL-20260709-FOLLOWUP-8B4E3542C01C78DD,FU-CARD-CADREM-STABLE-ANGINA-96363320D2,FollowUp,但有发生急性心肌梗死或猝死的危险,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:38505,3
CARD-SKELETON-FULL-20260709-FOLLOWUP-DDF2C8187D3FBFD9,FU-CARD-CADREM-STABLE-ANGINA-D8820F905E,FollowUp,决定预后的主要因素为冠脉病变累及心肌供血的范围和心功能,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:38506,3
CARD-SKELETON-FULL-20260709-FOLLOWUP-43B27B67BF6B21A1,FU-CARD-CADREM-STABLE-ANGINA-F2AC9D9D81,FollowUp,国外统计年病死率可高达30%左右,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:38508,3
CARD-SKELETON-FULL-20260709-FOLLOWUP-39E06ECE7678561D,FU-CARD-CADREM-STABLE-ANGINA-F53C8702F2,FollowUp,对稳定型心绞痛除应用药物防止心绞痛再次发作外,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:38512,3
CARD-SKELETON-FULL-20260709-FOLLOWUP-7E7AE9A60406B69F,FU-CARD-CADREM-STABLE-ANGINA-D6D9711628,FollowUp,左冠脉主干病变最为严重,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:38507,3
CARD-SKELETON-FULL-20260709-FOLLOWUP-372FC3E7FE8023A5,FU-CARD-CADREM-STABLE-ANGINA-EA52104645,FollowUp,左前降支病变一般较其他两支冠脉病变预后差,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:38510,3
CARD-SKELETON-FULL-20260709-FOLLOWUP-FD0E025BEE19151E,FU-CARD-CADREM-STABLE-ANGINA-321E89BE97,FollowUp,此后依次为3支、2支与单支病变,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:38509,3
CARD-SKELETON-FULL-20260709-FOLLOWUP-B7D84DFF87F7E17F,FU-CARD-CADREM-STABLE-ANGINA-1E7C050E20,FollowUp,稳定型心绞痛病人大多数能生存很多年,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:38504,3
CARD-SKELETON-FULL-20260709-FOLLOWUP-E6445A070D74CDBE,FU-CARD-CADREM-STABLE-ANGINA-5E6A65ABD8,FollowUp,还应从阻止或逆转粥样硬化病情进展、预防心肌梗死等方面综合考虑,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:38513,3
LAB-CARD-CADREM-STABLE-ANGINA-408A62EF5D,LAB-CARD-408A62EF5D51,LabTest,NT-proBNP,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:43386,3
CARD-SKELETON-FULL-20260709-PREVENTION-A37EC726345F9A49,PREV-CARD-CADREM-STABLE-ANGINA-B74B4DABE4,Prevention,但有发生急性心肌梗死或猝死的危险,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:38732,3
CARD-SKELETON-FULL-20260709-PREVENTION-45A8244677B2CF10,PREV-CARD-CADREM-STABLE-ANGINA-EE53356EA3,Prevention,决定预后的主要因素为冠脉病变累及心肌供血的范围和心功能,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:38733,3
CARD-SKELETON-FULL-20260709-PREVENTION-38C84CC4CFF48C90,PREV-CARD-CADREM-STABLE-ANGINA-921A7324A9,Prevention,国外统计年病死率可高达30%左右,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:38735,3
CARD-SKELETON-FULL-20260709-PREVENTION-79C76E28F8AABAFE,PREV-CARD-CADREM-STABLE-ANGINA-8C97ECA759,Prevention,对稳定型心绞痛除应用药物防止心绞痛再次发作外,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:38739,3
CARD-SKELETON-FULL-20260709-PREVENTION-658EBC05F9EBCB05,PREV-CARD-CADREM-STABLE-ANGINA-9C0BE15460,Prevention,左冠脉主干病变最为严重,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:38734,3
CARD-SKELETON-FULL-20260709-PREVENTION-B36165710A80BFE0,PREV-CARD-CADREM-STABLE-ANGINA-F7AB695429,Prevention,左前降支病变一般较其他两支冠脉病变预后差,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:38737,3
CARD-SKELETON-FULL-20260709-PREVENTION-842D328E5BB5071A,PREV-CARD-CADREM-STABLE-ANGINA-6B2296F6A3,Prevention,此后依次为3支、2支与单支病变,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:38736,3
CARD-SKELETON-FULL-20260709-PREVENTION-5F5222F0DFEA6A46,PREV-CARD-CADREM-STABLE-ANGINA-186C81853C,Prevention,稳定型心绞痛病人大多数能生存很多年,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:38731,3
CARD-SKELETON-FULL-20260709-PREVENTION-2710DEDCD036F4B7,PREV-CARD-CADREM-STABLE-ANGINA-AFD37C6CC9,Prevention,还应从阻止或逆转粥样硬化病情进展、预防心肌梗死等方面综合考虑,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:38740,3
CARD-SKELETON-FULL-20260709-PROGNOSIS-15CFDF5A62DAFC59,PROG-CARD-CADREM-STABLE-ANGINA-1A8EF3B6BB,Prognosis,对稳定型心绞痛除应用药物防止心绞痛再次发作外,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:38823,3
CARD-SKELETON-FULL-20260709-PROGNOSIS-E27C67E1EC7F9595,PROG-CARD-CADREM-STABLE-ANGINA-F5A579AB21,Prognosis,稳定型心绞痛病人大多数能生存很多年,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:38822,3
CARD-SKELETON-FULL-20260709-PROGNOSIS-CD8FB3C802435487,PROG-CARD-CADREM-STABLE-ANGINA-13BF7313B2,Prognosis,还应从阻止或逆转粥样硬化病情进展、预防心肌梗死等方面综合考虑,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:38824,3
LAB-CARD-TEXT-768E5070F6,CARD-SKELETON-20260709-LABTEST-C35CBC9355102D0B,LabTest,脑钠肽,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:25595,2
EVD-CARD-FULLBOOK-FD695D40A29FB1,EVD-CARD-FULLBOOK-2CBBDD5E51009C,Evidence,ST段抬高型心肌梗死-动脉粥样硬化-全书回捞证据-7283-A29FB1,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:19808,0
EVD-CARD-FULLBOOK-C04D3BE8DB0E99,EVD-CARD-FULLBOOK-2CBBDD5E51009C,Evidence,ST段抬高型心肌梗死-呼吸困难-全书回捞证据-7283-DB0E99,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:19805,0
EVD-CARD-FULLBOOK-F9B9D66345A3D6,EVD-CARD-FULLBOOK-2CBBDD5E51009C,Evidence,ST段抬高型心肌梗死-心力衰竭-全书回捞证据-7283-45A3D6,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:19809,0
EVD-CARD-FULLBOOK-547C80438E8705,EVD-CARD-FULLBOOK-2CBBDD5E51009C,Evidence,ST段抬高型心肌梗死-猝死-全书回捞证据-7283-8E8705,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:19810,0
EVD-CARD-FULLBOOK-C30F9DCA823CCF,EVD-CARD-FULLBOOK-2CBBDD5E51009C,Evidence,ST段抬高型心肌梗死-药物治疗-全书回捞证据-7283-823CCF,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:19806,0
EVD-CARD-FULLBOOK-B7B25430E45AB6,EVD-CARD-FULLBOOK-2CBBDD5E51009C,Evidence,ST段抬高型心肌梗死-血运重建-全书回捞证据-7283-E45AB6,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:19807,0
EVD-CARD-FULLBOOK-081BCEDFB2FB83,EVD-CARD-FULLBOOK-2CBBDD5E51009C,Evidence,不稳定型心绞痛-动脉粥样硬化-全书回捞证据-7283-B2FB83,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:18812,0
EVD-CARD-FULLBOOK-D5EFEFF51CA8DB,EVD-CARD-FULLBOOK-2CBBDD5E51009C,Evidence,不稳定型心绞痛-呼吸困难-全书回捞证据-7283-1CA8DB,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:18809,0
EVD-CARD-FULLBOOK-577A9FFB91DEF4,EVD-CARD-FULLBOOK-2CBBDD5E51009C,Evidence,不稳定型心绞痛-心力衰竭-全书回捞证据-7283-91DEF4,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:18813,0
EVD-CARD-FULLBOOK-EDC83CD2093B6A,EVD-CARD-FULLBOOK-2CBBDD5E51009C,Evidence,不稳定型心绞痛-猝死-全书回捞证据-7283-093B6A,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:18814,0
EVD-CARD-FULLBOOK-33F933CD6FEEE9,EVD-CARD-FULLBOOK-2CBBDD5E51009C,Evidence,不稳定型心绞痛-药物治疗-全书回捞证据-7283-6FEEE9,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:18810,0
