code,duplicate_replaced_by,entity_type,name,node_element_id,relation_count
CARD-SKELETON-20260709-MEDICATION-DDAA1C07D618EDC7,CARD-SKELETON-20260709-MEDICATION-DDAA1C07D618EDC7,Medication,β受体拮抗剂,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:36857,117
SYM-CARD-TEXT-24EDE9C876,SYM-CARD-TEXT-24EDE9C876,Symptom,咳嗽,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:25800,113
PROC-CARD-3A51966AEA2C,PROC-TEER,Procedure,TEER,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:46979,107
PROC-HEART-TRANSPLANT,PROC-HEART-TRANSPLANT,Procedure,心脏移植,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:25685,100
EXAM-CARD-705D7CD61EB7,EXAM-CARD-705D7CD61EB7,Exam,经食管超声心动图,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:30638,96
CARD-SKELETON-20260709-SIGN-EED0EF48BD272C92,CARD-SKELETON-20260709-SIGN-EED0EF48BD272C92,Sign,收缩期杂音,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:37053,94
MED-CARD-86E5A960E1BF,MED-CARD-86E5A960E1BF,Medication,P2Y12受体抑制剂,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:25613,91
SIGN-CARD-75EFE91EFEED,SIGN-CARD-75EFE91EFEED,Sign,奔马律,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:25758,90
LAB-CARD-960C7CE8E22B,LAB-CARD-960C7CE8E22B,LabTest,肌酸激酶同工酶（CK-MB）,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:25592,89
LAB-CARD-3F8D27CB7EC9,LAB-CARD-3F8D27CB7EC9,LabTest,血常规,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:46966,85
SIGN-CARD-EB9D2F421114,SIGN-CARD-EB9D2F421114,Sign,心脏扩大,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:25763,79
SYM-CARD-F076662BF021,SYM-CARD-F076662BF021,Symptom,端坐呼吸,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:25790,79
CARD-SKELETON-20260709-EXAM-B66979D14041DD2B,CARD-SKELETON-20260709-EXAM-B66979D14041DD2B,Exam,X线,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:36825,76
MED-NDHP-CCB,MED-NDHP-CCB,Medication,非二氢吡啶类钙通道阻滞剂,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:25607,76
SYM-CARD-BC91622FC62F,SYM-CARD-BC91622FC62F,Symptom,出汗,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:25798,75
SIGN-CARD-TEXT-3A48213336,SIGN-CARD-TEXT-3A48213336,Sign,高血压,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:25774,67
SIGN-CARD-B0814CB800B1,SIGN-CARD-B0814CB800B1,Sign,第三心音,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:25761,66
SYM-CARD-1053F19CEBAD,SYM-CARD-1053F19CEBAD,Symptom,恶心呕吐,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:25793,66
EXAM-CARD-D690076CB8EB,EXAM-CARD-D690076CB8EB,Exam,胸部X线,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:49195,60
MED-CARD-STD-68380EE96C,MED-CARD-2CF15595A00F,Medication,比索洛尔,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:43737,59
LAB-CARD-1BE2B3C08B76,LAB-CARD-1BE2B3C08B76,LabTest,红细胞沉降率,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:51488,57
LAB-CARD-TEXT-07B39C98F1,LAB-CARD-TEXT-07B39C98F1,LabTest,肾功能,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:25602,56
SIGN-CARD-658603F4081B,SIGN-CARD-658603F4081B,Sign,第四心音,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:25756,56
SIGN-CARD-7D7BE7B5FE4D,SIGN-CARD-7D7BE7B5FE4D,Sign,心音低钝,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:25767,49
LAB-CARD-TEXT-43D8A5AEE4,LAB-CARD-TEXT-43D8A5AEE4,LabTest,血糖,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:25601,47
SIGN-CARD-1431D67A6000,SIGN-CARD-1431D67A6000,Sign,肺水肿,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:25753,39
LAB-CARD-BF2619C772EC,LAB-CARD-BF2619C772EC,LabTest,C反应蛋白,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:51489,38
SIGN-CARD-FFE03BB62300,SIGN-CARD-FFE03BB62300,Sign,皮肤湿冷,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:25768,38
