batch_id,code,duplicate_replaced_by,entity_type,name,node_element_id
20260716_内科学心血管骨架V1.1临床可推理层下钻治理,"['IND-EXAM-CARD-85148D8A75A3-旁路定位', 'IND-EXAM-CARD-TEXT-C33E64A777-旁路定位']",,ExamIndicator,旁路定位,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:25616
20260716_内科学心血管骨架V1.1临床可推理层下钻治理,"['IND-EXAM-CARD-CADREM-SILENT-ISCHEMIA-9E41219AEC-最小管腔面积', 'IND-CARD-SKELETON-20260709-EXAM-652809DC86CBF5A2-最小管腔面积']",,ExamIndicator,最小管腔面积,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:43331
20260716_内科学心血管骨架V1.1临床可推理层下钻治理,"['IND-EXAM-CARD-A096A6416690-最长RR间期', 'IND-EXAM-HOLTER-最长RR间期', 'IND-EXAM-CARD-CADREM-STABLE-ANGINA-2B3BD0A8FA-最长RR间期']",,ExamIndicator,最长RR间期,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:25656
"['BATCH-CARD-CAD-STEMI-20260712-001', '20260716_内科学心血管骨架V1.1临床可推理层下钻治理']","['IND-CARD-STEMI-632284B2B3C7', 'IND-EXAM-CARD-A80B855C8C77-病理性Q波', 'IND-EXAM-ECG-病理性Q波']",,ExamIndicator,病理性Q波,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:43091
20260716_内科学心血管骨架V1.1临床可推理层下钻治理,"['IND-EXAM-CARD-41BF81CAB3CE-症状相关心律事件', 'IND-EXAM-CARD-F6169EE9D82C-症状相关心律事件']",,ExamIndicator,症状相关心律事件,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:25660
20260716_内科学心血管骨架V1.1临床可推理层下钻治理,"['IND-CARD-SKELETON-FULL-20260709-EXAM-40BD433C71F71D08-纤维帽厚度', 'IND-EXAM-CARD-CADREM-UA-6595E76160-纤维帽厚度']",,ExamIndicator,纤维帽厚度,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:30637
20260716_内科学心血管骨架V1.1临床可推理层下钻治理,"['IND-CARD-SKELETON-20260709-EXAM-4974BA875B54084B-结构异常', 'IND-EXAM-CARD-TEXT-9A031190AE-结构异常', 'IND-EXAM-CARD-F6AAC5622DEA-结构异常']",,ExamIndicator,结构异常,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:43234
20260716_内科学心血管骨架V1.1临床可推理层下钻治理,"['IND-EXAM-CARD-B27427130801-肺动脉压力', 'IND-EXAM-CARD-TEXT-8AF3973EB6-肺动脉压力']",,ExamIndicator,肺动脉压力,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:43387
20260716_内科学心血管骨架V1.1临床可推理层下钻治理,"['IND-EXAM-CARD-TEXT-BE9C2270C9-肺水肿', 'IND-CARD-SKELETON-20260709-EXAM-B66979D14041DD2B-肺水肿', 'IND-EXAM-CARD-CHEST-IMAGING-CDSS-肺水肿']",,ExamIndicator,肺水肿,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:43262
20260716_内科学心血管骨架V1.1临床可推理层下钻治理,"['IND-CARD-SKELETON-20260709-EXAM-B66979D14041DD2B-肺淤血', 'IND-EXAM-CARD-TEXT-BE9C2270C9-肺淤血', 'IND-EXAM-CARD-CHEST-IMAGING-CDSS-肺淤血']",,ExamIndicator,肺淤血,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:43260
20260716_内科学心血管骨架V1.1临床可推理层下钻治理,"['IND-CARD-SKELETON-20260709-EXAM-B66979D14041DD2B-胸腔积液', 'IND-EXAM-CARD-TEXT-BE9C2270C9-胸腔积液', 'IND-EXAM-CARD-CHEST-IMAGING-CDSS-胸腔积液']",,ExamIndicator,胸腔积液,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:43261
"['BATCH-CARD-HT-20260709-001_高血压_Hypertension', '20260716_内科学心血管骨架V1.1临床可推理层下钻治理']","['IND-CARD-8A26783DF8CC', 'IND-EXAM-CARD-1F526A303B77-舒张压']",,ExamIndicator,舒张压,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:42804
20260716_内科学心血管骨架V1.1临床可推理层下钻治理,"['IND-EXAM-CARD-241B4B0218DF-血压反应', 'IND-EXAM-CARD-896888B4FC85-血压反应']",,ExamIndicator,血压反应,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:43342
20260716_内科学心血管骨架V1.1临床可推理层下钻治理,"['IND-CARD-SKELETON-20260709-EXAM-4974BA875B54084B-血栓', 'IND-EXAM-CARD-F6AAC5622DEA-血栓', 'IND-EXAM-CARD-TEXT-9A031190AE-血栓']",,ExamIndicator,血栓,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:43235
20260716_内科学心血管骨架V1.1临床可推理层下钻治理,"['IND-EXAM-CARD-CADREM-UA-6595E76160-血栓影像', 'IND-CARD-SKELETON-FULL-20260709-EXAM-40BD433C71F71D08-血栓影像']",,ExamIndicator,血栓影像,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:43329
20260716_内科学心血管骨架V1.1临床可推理层下钻治理,"['IND-EXAM-CARD-TEXT-8AF3973EB6-血氧饱和度阶差', 'IND-EXAM-CARD-B27427130801-血氧饱和度阶差']",,ExamIndicator,血氧饱和度阶差,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:43377
20260716_内科学心血管骨架V1.1临床可推理层下钻治理,"['IND-EXAM-CARD-CADREM-SILENT-ISCHEMIA-9E41219AEC-血管夹层', 'IND-CARD-SKELETON-20260709-EXAM-652809DC86CBF5A2-血管夹层']",,ExamIndicator,血管夹层,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:43351
20260716_内科学心血管骨架V1.1临床可推理层下钻治理,"['LABIND-EXAM-HT-CKD-EGFR-UACR-血肌酐', 'LABIND-LAB-CARD-RENAL-ELECTROLYTE-CDSS-血肌酐']",,ExamIndicator,血肌酐,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:43415
20260716_内科学心血管骨架V1.1临床可推理层下钻治理,"['IND-EXAM-CARD-TEXT-C33E64A777-诱发性心动过速', 'IND-EXAM-CARD-85148D8A75A3-诱发性心动过速']",,ExamIndicator,诱发性心动过速,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:25646
