序号,疾病大类,疾病编码,疾病名称,诊断角色,标准诊断编码,CDSS字典ID,标准身份状态,证据数,指南节点数,正式推荐数,正式推荐主来源数,教材来源名称,指南/PDF来源名称,页码/位置,缺口原因
106,肺动脉高压,DIS-CARD-PH-CTEPH,慢性血栓栓塞性肺动脉高压,clinical_subtype,I27.202,501ed845034dbcaa391db3cb68553bd5,validated,104,6,0,0,,,,正式推荐为0
107,肺动脉高压,DIS-CARD-PH-IPAH,特发性肺动脉高压,clinical_subtype,,,,106,6,0,0,,,,正式推荐为0
108,肺动脉高压,DIS-CARD-PH-CTD,结缔组织病相关肺动脉高压,clinical_subtype,,,,44,5,0,0,,,,正式推荐为0
109,肺动脉高压,DIS-CARD-PH,肺动脉高压,broad_diagnosis,,,,431,8,0,0,,,,正式推荐为0
110,肺动脉高压,DIS-CARD-PH-HPAH,遗传性肺动脉高压,clinical_subtype,I27.000x007,af65f02150247015d7a99f0cca239546,validated,33,4,0,0,,,,正式推荐为0
111,血脂异常与动脉粥样硬化防治,DIS-CARD-FH,家族性高胆固醇血症,independent_disease,,,,231,8,0,0,,,,正式推荐为0
112,血脂异常与动脉粥样硬化防治,DIS-CARD-DYSLIPIDEMIA,血脂异常,independent_disease,,,,206,7,0,0,,,,正式推荐为0
113,血脂异常与动脉粥样硬化防治,DIS-CARD-HYPERCHOLESTEROLEMIA,高胆固醇血症,independent_disease,,,,74,6,0,0,,,,正式推荐为0
114,高血压,DIS-CARD-HTN-COA,主动脉缩窄,independent_disease,,,,43,0,0,0,,,,指南来源为0；正式推荐为0
115,高血压,DIS-CARD-HT-ENDOCRINE,内分泌性高血压,clinical_subtype,,,,20,3,2,0,,,,
116,高血压,DIS-CARD-HT-PA,原发性醛固酮增多症,independent_disease,,,,223,13,2,0,,,,
117,高血压,DIS-CARD-HT-PRIMARY,原发性高血压,clinical_subtype,,,,135,12,2,0,,,,
118,高血压,DIS-CARD-HT-PAROXYSMAL,发作性高血压,clinical_subtype,,,,24,4,3,0,,,,
119,高血压,DIS-CARD-HTN-PHEO,嗜铬细胞瘤和副神经节瘤,independent_disease,,,,27,0,0,0,,,,指南来源为0；正式推荐为0
120,高血压,DIS-CARD-HT-CKD,慢性肾脏病合并高血压,clinical_subtype,,,,10,3,2,0,,,,
121,高血压,DIS-CARD-HT-WCH,白大衣高血压,clinical_subtype,,,,58,10,2,0,,,,
122,高血压,DIS-CARD-HT-SECONDARY,继发性高血压,clinical_subtype,,,,223,14,2,0,,,,
123,高血压,DIS-CARD-HT-ELDERLY,老年高血压,clinical_subtype,,,,59,10,2,0,,,,
124,高血压,DIS-CARD-HT-RENAL-PARENCHYMAL,肾实质性高血压,clinical_subtype,,,,38,4,2,0,,,,
125,高血压,DIS-CARD-HT-RENOVASCULAR,肾血管性高血压,clinical_subtype,,,,44,7,2,0,,,,
126,高血压,DIS-CARD-HT-MASKED,隐匿性高血压,clinical_subtype,,,,42,9,2,0,,,,
127,高血压,DIS-CARD-HT-RESISTANT,难治性高血压,clinical_subtype,,,,195,13,2,0,,,,
128,高血压,DIS-CARD-HT,高血压,broad_diagnosis,,,,2121,16,2,0,,,,
129,高血压,DIS-CARD-HT-URGENCY,高血压亚急症,clinical_subtype,,,,8,4,2,0,,,,
130,高血压,DIS-CARD-HT-EMERGENCY,高血压急症,clinical_subtype,,,,57,12,2,0,,,,
131,高血压,DIS-CARD-HTN-EMERGENCY,高血压急症和亚急症,independent_disease,,,,13,0,0,0,,,,指南来源为0；正式推荐为0
