CDSS场景,支撑实体数量,支撑实体类型,正式CDSS关系数,疾病名称,疾病大类,疾病编码,能力判断,证据节点数量
禁忌与风险预警,5,Contraindication、ClinicalRule,0,心室扑动与心室颤动,,DIS-CARD-ARR-VF,可用于CDSS展示,903
随访,1,FollowUp,0,心室扑动与心室颤动,,DIS-CARD-ARR-VF,可展示但需补强,903
预后/预防,1,Prognosis、Prevention,0,心室扑动与心室颤动,,DIS-CARD-ARR-VF,可展示但需补强,903
并发症管理,8,Complication,0,心室扑动与心室颤动,,DIS-CARD-ARR-VF,可用于CDSS展示,903
疑似疾病识别,27,Symptom、Sign,0,心房扑动,,DIS-CARD-ARR-AFL,可用于CDSS展示,664
诊断建议,6,DiagnosisCriteria、DiagnosisCriteriaComponent、ClinicalRule,0,心房扑动,,DIS-CARD-ARR-AFL,可用于CDSS展示,664
鉴别诊断,4,DifferentialDiagnosis,0,心房扑动,,DIS-CARD-ARR-AFL,可用于CDSS展示,664
推荐检查,6,Exam、ExamIndicator,0,心房扑动,,DIS-CARD-ARR-AFL,可用于CDSS展示,664
推荐检验,6,LabTest、LabTestIndicator,0,心房扑动,,DIS-CARD-ARR-AFL,可用于CDSS展示,664
风险分层,0,RiskStratification,0,心房扑动,,DIS-CARD-ARR-AFL,缺口,664
治疗方案,6,TreatmentPlan、RecommendationStatement,0,心房扑动,,DIS-CARD-ARR-AFL,可用于CDSS展示,664
药物推荐,15,Medication,0,心房扑动,,DIS-CARD-ARR-AFL,可用于CDSS展示,664
手术/操作推荐,9,Procedure,0,心房扑动,,DIS-CARD-ARR-AFL,可用于CDSS展示,664
禁忌与风险预警,4,Contraindication、ClinicalRule,0,心房扑动,,DIS-CARD-ARR-AFL,可用于CDSS展示,664
随访,1,FollowUp,0,心房扑动,,DIS-CARD-ARR-AFL,可展示但需补强,664
预后/预防,1,Prognosis、Prevention,0,心房扑动,,DIS-CARD-ARR-AFL,可展示但需补强,664
并发症管理,12,Complication,0,心房扑动,,DIS-CARD-ARR-AFL,可用于CDSS展示,664
疑似疾病识别,38,Symptom、Sign,0,心房颤动,,DIS-CARD-ARR-AF,可用于CDSS展示,3003
诊断建议,5,DiagnosisCriteria、DiagnosisCriteriaComponent、ClinicalRule,0,心房颤动,,DIS-CARD-ARR-AF,可用于CDSS展示,3003
鉴别诊断,3,DifferentialDiagnosis,0,心房颤动,,DIS-CARD-ARR-AF,可用于CDSS展示,3003
推荐检查,15,Exam、ExamIndicator,0,心房颤动,,DIS-CARD-ARR-AF,可用于CDSS展示,3003
推荐检验,13,LabTest、LabTestIndicator,0,心房颤动,,DIS-CARD-ARR-AF,可用于CDSS展示,3003
风险分层,3,RiskStratification,0,心房颤动,,DIS-CARD-ARR-AF,可用于CDSS展示,3003
治疗方案,13,TreatmentPlan、RecommendationStatement,0,心房颤动,,DIS-CARD-ARR-AF,可用于CDSS展示,3003
药物推荐,32,Medication,0,心房颤动,,DIS-CARD-ARR-AF,可用于CDSS展示,3003
手术/操作推荐,15,Procedure,0,心房颤动,,DIS-CARD-ARR-AF,可用于CDSS展示,3003
禁忌与风险预警,4,Contraindication、ClinicalRule,0,心房颤动,,DIS-CARD-ARR-AF,可用于CDSS展示,3003
随访,1,FollowUp,0,心房颤动,,DIS-CARD-ARR-AF,可展示但需补强,3003
预后/预防,1,Prognosis、Prevention,0,心房颤动,,DIS-CARD-ARR-AF,可展示但需补强,3003
并发症管理,15,Complication,0,心房颤动,,DIS-CARD-ARR-AF,可用于CDSS展示,3003
疑似疾病识别,29,Symptom、Sign,0,房室传导阻滞,,DIS-CARD-ARR-AVB,可用于CDSS展示,821
诊断建议,6,DiagnosisCriteria、DiagnosisCriteriaComponent、ClinicalRule,0,房室传导阻滞,,DIS-CARD-ARR-AVB,可用于CDSS展示,821
鉴别诊断,0,DifferentialDiagnosis,0,房室传导阻滞,,DIS-CARD-ARR-AVB,缺口,821
推荐检查,7,Exam、ExamIndicator,0,房室传导阻滞,,DIS-CARD-ARR-AVB,可用于CDSS展示,821
推荐检验,8,LabTest、LabTestIndicator,0,房室传导阻滞,,DIS-CARD-ARR-AVB,可用于CDSS展示,821
风险分层,0,RiskStratification,0,房室传导阻滞,,DIS-CARD-ARR-AVB,缺口,821
治疗方案,8,TreatmentPlan、RecommendationStatement,0,房室传导阻滞,,DIS-CARD-ARR-AVB,可用于CDSS展示,821
药物推荐,10,Medication,0,房室传导阻滞,,DIS-CARD-ARR-AVB,可用于CDSS展示,821
手术/操作推荐,7,Procedure,0,房室传导阻滞,,DIS-CARD-ARR-AVB,可用于CDSS展示,821
禁忌与风险预警,5,Contraindication、ClinicalRule,0,房室传导阻滞,,DIS-CARD-ARR-AVB,可用于CDSS展示,821
随访,1,FollowUp,0,房室传导阻滞,,DIS-CARD-ARR-AVB,可展示但需补强,821
预后/预防,1,Prognosis、Prevention,0,房室传导阻滞,,DIS-CARD-ARR-AVB,可展示但需补强,821
并发症管理,10,Complication,0,房室传导阻滞,,DIS-CARD-ARR-AVB,可用于CDSS展示,821
疑似疾病识别,9,Symptom、Sign,0,房室折返性心动过速,,DIS-CARD-ARR-AVRT,可用于CDSS展示,124
诊断建议,5,DiagnosisCriteria、DiagnosisCriteriaComponent、ClinicalRule,0,房室折返性心动过速,,DIS-CARD-ARR-AVRT,可用于CDSS展示,124
鉴别诊断,4,DifferentialDiagnosis,0,房室折返性心动过速,,DIS-CARD-ARR-AVRT,可用于CDSS展示,124
推荐检查,5,Exam、ExamIndicator,0,房室折返性心动过速,,DIS-CARD-ARR-AVRT,可用于CDSS展示,124
推荐检验,1,LabTest、LabTestIndicator,0,房室折返性心动过速,,DIS-CARD-ARR-AVRT,可展示但需补强,124
风险分层,0,RiskStratification,0,房室折返性心动过速,,DIS-CARD-ARR-AVRT,缺口,124
治疗方案,5,TreatmentPlan、RecommendationStatement,0,房室折返性心动过速,,DIS-CARD-ARR-AVRT,可用于CDSS展示,124
药物推荐,6,Medication,0,房室折返性心动过速,,DIS-CARD-ARR-AVRT,可用于CDSS展示,124
手术/操作推荐,4,Procedure,0,房室折返性心动过速,,DIS-CARD-ARR-AVRT,可用于CDSS展示,124
禁忌与风险预警,4,Contraindication、ClinicalRule,0,房室折返性心动过速,,DIS-CARD-ARR-AVRT,可用于CDSS展示,124
随访,1,FollowUp,0,房室折返性心动过速,,DIS-CARD-ARR-AVRT,可展示但需补强,124
预后/预防,1,Prognosis、Prevention,0,房室折返性心动过速,,DIS-CARD-ARR-AVRT,可展示但需补强,124
并发症管理,5,Complication,0,房室折返性心动过速,,DIS-CARD-ARR-AVRT,可用于CDSS展示,124
疑似疾病识别,9,Symptom、Sign,0,房室结折返性心动过速,,DIS-CARD-ARR-AVNRT,可用于CDSS展示,101
诊断建议,5,DiagnosisCriteria、DiagnosisCriteriaComponent、ClinicalRule,0,房室结折返性心动过速,,DIS-CARD-ARR-AVNRT,可用于CDSS展示,101
鉴别诊断,4,DifferentialDiagnosis,0,房室结折返性心动过速,,DIS-CARD-ARR-AVNRT,可用于CDSS展示,101
推荐检查,4,Exam、ExamIndicator,0,房室结折返性心动过速,,DIS-CARD-ARR-AVNRT,可用于CDSS展示,101
推荐检验,1,LabTest、LabTestIndicator,0,房室结折返性心动过速,,DIS-CARD-ARR-AVNRT,可展示但需补强,101
风险分层,0,RiskStratification,0,房室结折返性心动过速,,DIS-CARD-ARR-AVNRT,缺口,101
治疗方案,4,TreatmentPlan、RecommendationStatement,0,房室结折返性心动过速,,DIS-CARD-ARR-AVNRT,可用于CDSS展示,101
药物推荐,6,Medication,0,房室结折返性心动过速,,DIS-CARD-ARR-AVNRT,可用于CDSS展示,101
手术/操作推荐,2,Procedure,0,房室结折返性心动过速,,DIS-CARD-ARR-AVNRT,可展示但需补强,101
禁忌与风险预警,4,Contraindication、ClinicalRule,0,房室结折返性心动过速,,DIS-CARD-ARR-AVNRT,可用于CDSS展示,101
随访,1,FollowUp,0,房室结折返性心动过速,,DIS-CARD-ARR-AVNRT,可展示但需补强,101
