subject_name,skeleton_slot,evidence_id,status,candidate_count,note
非扩张型左心室心肌病,pathogenesis,CARD-SKELETON-FULL-20260709-EVID-79D2074B2E525719,ok_with_candidates,3,
非扩张型左心室心肌病,clinical_manifestation,CARD-SKELETON-FULL-20260709-EVID-1512C99454D99AC9,ok_with_candidates,1,
非扩张型左心室心肌病,exam,CARD-SKELETON-FULL-20260709-EVID-3A24967AB0F2B3EA,ok_with_candidates,6,
非扩张型左心室心肌病,diagnostic_criteria,CARD-SKELETON-FULL-20260709-EVID-364EE162E0E6E602,ok_with_candidates,3,
非扩张型左心室心肌病,differential_diagnosis,CARD-SKELETON-FULL-20260709-EVID-EA4777620CE0BDB7,ok_with_candidates,1,
非扩张型左心室心肌病,treatment,CARD-SKELETON-FULL-20260709-EVID-5C08A5E9430A723A,ok_with_candidates,6,
致心律失常性右心室心肌病,definition,CARD-SKELETON-FULL-20260709-EVID-4008AAF88BED3850,ok_with_candidates,2,
致心律失常性右心室心肌病,pathogenesis,CARD-SKELETON-FULL-20260709-EVID-C3573A6C8131211C,ok_with_candidates,9,
致心律失常性右心室心肌病,clinical_manifestation,CARD-SKELETON-FULL-20260709-EVID-EE5F158264E189AD,ok_with_candidates,4,
致心律失常性右心室心肌病,exam,CARD-SKELETON-FULL-20260709-EVID-086D09C4CAAB9F20,ok_with_candidates,5,
致心律失常性右心室心肌病,diagnostic_criteria,CARD-SKELETON-FULL-20260709-EVID-1108DAC286CEFB8E,ok_with_candidates,11,
致心律失常性右心室心肌病,differential_diagnosis,CARD-SKELETON-FULL-20260709-EVID-604CE2C7EC19FE7E,ok_with_candidates,4,
致心律失常性右心室心肌病,treatment,CARD-SKELETON-FULL-20260709-EVID-9CC7F13BE69E6350,ok_with_candidates,6,
限制型心肌病,definition,CARD-SKELETON-FULL-20260709-EVID-34B86FC33248CF68,ok_with_candidates,2,
限制型心肌病,etiology,CARD-SKELETON-FULL-20260709-EVID-FBAD7E77A4CF837E,ok_with_candidates,10,
限制型心肌病,clinical_manifestation,CARD-SKELETON-FULL-20260709-EVID-C196288261D1D02A,ok_with_candidates,10,
限制型心肌病,exam,CARD-SKELETON-FULL-20260709-EVID-F4B52F39C38389D6,ok_with_candidates,13,
限制型心肌病,diagnostic_criteria,CARD-SKELETON-FULL-20260709-EVID-B0A0F5086257F11C,ok_with_candidates,4,
限制型心肌病,differential_diagnosis,CARD-SKELETON-FULL-20260709-EVID-68B7816F9110FC73,ok_with_candidates,5,
限制型心肌病,treatment,CARD-SKELETON-FULL-20260709-EVID-65A1B14984AA9B04,ok_with_candidates,7,
心肌炎,definition,CARD-SKELETON-FULL-20260709-EVID-CE93866B11A7F876,ok_with_candidates,6,
心肌炎,etiology,CARD-SKELETON-FULL-20260709-EVID-4775CAE96DFCA51A,ok_with_candidates,3,
心肌炎,pathogenesis,CARD-SKELETON-FULL-20260709-EVID-9099CD38B7AECA11,ok_with_candidates,6,
心肌炎,clinical_manifestation,CARD-SKELETON-FULL-20260709-EVID-7A9FA37FFE8B703A,ok_with_candidates,14,
心肌炎,exam,CARD-SKELETON-FULL-20260709-EVID-0F1A96A6D8442C01,ok_with_candidates,10,
心肌炎,diagnostic_criteria,CARD-SKELETON-FULL-20260709-EVID-C42C7C960863F8E4,ok_with_candidates,8,
心肌炎,differential_diagnosis,CARD-SKELETON-FULL-20260709-EVID-2DF51B0B73D84DFE,ok_with_candidates,8,
心肌炎,treatment,CARD-SKELETON-FULL-20260709-EVID-A5DE5DC05C9B3923,blocked_false_treatment_context,0,疑似治疗不当/诱因语境，未抽治疗实体
成人常见先天性心血管病,definition,CARD-SKELETON-FULL-20260709-EVID-C53C7AEE2B72441C,ok_with_candidates,5,
成人常见先天性心血管病,pathogenesis,CARD-SKELETON-FULL-20260709-EVID-B18740BAA7C3E2AC,ok_with_candidates,14,
成人常见先天性心血管病,clinical_manifestation,CARD-SKELETON-FULL-20260709-EVID-B2209BBC7D89CB5C,ok_with_candidates,19,
成人常见先天性心血管病,exam,CARD-SKELETON-FULL-20260709-EVID-F7DA2A647CB4C0A1,ok_with_candidates,8,
成人常见先天性心血管病,diagnostic_criteria,CARD-SKELETON-FULL-20260709-EVID-95B57BC8FD947EE7,ok_with_candidates,8,
成人常见先天性心血管病,differential_diagnosis,CARD-SKELETON-FULL-20260709-EVID-26D939C592101D52,ok_with_candidates,12,
成人常见先天性心血管病,treatment,CARD-SKELETON-FULL-20260709-EVID-6CEEBCA6FBBFF099,ok_with_candidates,2,
成人常见先天性心血管病,prognosis,CARD-SKELETON-FULL-20260709-EVID-1BFF14120D23C325,ok_with_candidates,8,
成人常见先天性心血管病,follow_up,CARD-SKELETON-FULL-20260709-EVID-34C5355301B74EC6,ok_with_candidates,8,
成人常见先天性心血管病,prevention,CARD-SKELETON-FULL-20260709-EVID-4FC9A047E62343B4,ok_with_candidates,8,
艾森门格综合征,definition,CARD-SKELETON-FULL-20260709-EVID-F849D952889E1338,ok_with_candidates,2,
艾森门格综合征,pathogenesis,CARD-SKELETON-FULL-20260709-EVID-4E4E8481BCBF4BCF,ok_with_candidates,10,
艾森门格综合征,clinical_manifestation,CARD-SKELETON-FULL-20260709-EVID-C240112C375C42E7,ok_with_candidates,3,
艾森门格综合征,exam,CARD-SKELETON-FULL-20260709-EVID-7A7A66E881CE271F,ok_with_candidates,3,
艾森门格综合征,diagnostic_criteria,CARD-SKELETON-FULL-20260709-EVID-77FF4FE14DD2D9F7,ok_with_candidates,4,
艾森门格综合征,differential_diagnosis,CARD-SKELETON-FULL-20260709-EVID-808DD08A2FBED92C,ok_with_candidates,3,
