review_level,review_id,batch_id,disease_code,disease_name,scenario_type,relation_type,target_type,relation_id,target_code,target_name,review_decision,overall_risk_level,reviewer_name,reviewer_role,reviewed_at,expert_comment
detail,DETAIL-BATCH-CARD-CAD-20260623-001-REL-836C595E4D8D,BATCH-CARD-CAD-20260623-001,DIS-CARD-CAD-STEMI,ST段抬高型心肌梗死,,treated_by_medication,Medication,REL-836C595E4D8D,MED-CARD-TEXT-D07193A49C,溶栓药物,,,,,,
detail,DETAIL-BATCH-CARD-CAD-20260623-001-REL-DAD13C887029,BATCH-CARD-CAD-20260623-001,DIS-CARD-CAD-STEMI,ST段抬高型心肌梗死,,treated_by_medication,Medication,REL-DAD13C887029,MED-CARD-TEXT-28E925C6DE,钙通道阻滞剂,,,,,,
detail,DETAIL-BATCH-CARD-CAD-20260623-001-REL-29E7AB46F734,BATCH-CARD-CAD-20260623-001,,,,has_treatment_plan,TreatmentPlan,REL-29E7AB46F734,PLAN-CARD-TEXT-EEF9C97B59,血运重建,,,,,,
detail,DETAIL-BATCH-CARD-CAD-20260623-001-REL-250A5520E15B,BATCH-CARD-CAD-20260623-001,DIS-CARD-CAD-NSTEMI,非ST段抬高型心肌梗死,,treated_by_medication,Medication,REL-250A5520E15B,MED-CARD-TEXT-4E798D0AB2,抗血小板药物,,,,,,
detail,DETAIL-BATCH-CARD-CAD-20260623-001-REL-DCFFBAA94C34,BATCH-CARD-CAD-20260623-001,DIS-CARD-CAD-NSTEMI,非ST段抬高型心肌梗死,,treated_by_medication,Medication,REL-DCFFBAA94C34,MED-CARD-DAE0F0B68F1D,他汀类药物,,,,,,
detail,DETAIL-BATCH-CARD-CAD-20260623-001-REL-EBEB9E85206E,BATCH-CARD-CAD-20260623-001,,,,has_treatment_plan,TreatmentPlan,REL-EBEB9E85206E,PLAN-CARD-A1C4E6332D38,抗凝治疗,,,,,,
detail,DETAIL-BATCH-CARD-CAD-20260623-001-REL-C716A3A608A8,BATCH-CARD-CAD-20260623-001,DIS-CARD-CAD-NSTEMI,非ST段抬高型心肌梗死,,treated_by_medication,Medication,REL-C716A3A608A8,MED-CARD-E40082221530,血管紧张素转换酶抑制剂,,,,,,
detail,DETAIL-BATCH-CARD-CAD-20260623-001-REL-55DA63AC49AC,BATCH-CARD-CAD-20260623-001,DIS-CARD-CAD-NSTEMI,非ST段抬高型心肌梗死,,treated_by_medication,Medication,REL-55DA63AC49AC,MED-CARD-55157DA54154,硝酸酯类药物,,,,,,
detail,DETAIL-BATCH-CARD-CAD-20260623-001-REL-4EAB39E78BBF,BATCH-CARD-CAD-20260623-001,DIS-CARD-CAD-NSTEMI,非ST段抬高型心肌梗死,,treated_by_medication,Medication,REL-4EAB39E78BBF,MED-CARD-TEXT-28E925C6DE,钙通道阻滞剂,,,,,,
detail,DETAIL-BATCH-CARD-CAD-20260623-001-REL-E342857D28D2,BATCH-CARD-CAD-20260623-001,DIS-CARD-CAD-CCS,慢性冠脉综合征,,treated_by_medication,Medication,REL-E342857D28D2,MED-CARD-55157DA54154,硝酸酯类药物,,,,,,
detail,DETAIL-BATCH-CARD-CAD-20260623-001-REL-07EC9C7FA380,BATCH-CARD-CAD-20260623-001,DIS-CARD-CAD-ICM,缺血性心肌病,,treated_by_medication,Medication,REL-07EC9C7FA380,MED-CARD-55157DA54154,硝酸酯类药物,,,,,,
detail,DETAIL-BATCH-CARD-CAD-20260623-001-REL-0E9DA212A033,BATCH-CARD-CAD-20260623-001,,,,has_treatment_plan,TreatmentPlan,REL-0E9DA212A033,PLAN-CARD-A1C4E6332D38,抗凝治疗,,,,,,
detail,DETAIL-BATCH-CARD-CAD-20260623-001-REL-899520D80815,BATCH-CARD-CAD-20260623-001,,,,treated_by_procedure,Procedure,REL-899520D80815,PROC-CARD-TEXT-23F5CDA89B,起搏器植入,,,,,,
detail,DETAIL-BATCH-CARD-CAD-20260623-001-REL-9D4408A51E3E,BATCH-CARD-CAD-20260623-001,,,,treated_by_procedure,Procedure,REL-9D4408A51E3E,PROC-CARD-TEXT-D2C1F9E289,心脏再同步治疗,,,,,,
detail,DETAIL-BATCH-CARD-CAD-20260623-001-REL-786D9EA15301,BATCH-CARD-CAD-20260623-001,,,,has_treatment_plan,TreatmentPlan,REL-786D9EA15301,PLAN-CARD-FULLBOOK-B87D3F557B,溶栓治疗,,,,,,
detail,DETAIL-BATCH-CARD-CAD-20260623-001-REL-6822D6DE127D,BATCH-CARD-CAD-20260623-001,,,,has_treatment_plan,TreatmentPlan,REL-6822D6DE127D,PLAN-CARD-FULLBOOK-BBA9C43055,氧疗,,,,,,
detail,DETAIL-BATCH-CARD-CAD-20260623-001-REL-09C07DB50B68,BATCH-CARD-CAD-20260623-001,DIS-CARD-CAD-ACS,急性冠脉综合征,,treated_by_medication,Medication,REL-09C07DB50B68,MED-CARD-TEXT-B905AF3E59,血管紧张素Ⅱ受体拮抗剂,,,,,,
detail,DETAIL-BATCH-CARD-CAD-20260623-001-REL-BC3299637F95,BATCH-CARD-CAD-20260623-001,,,,has_treatment_plan,TreatmentPlan,REL-BC3299637F95,PLAN-CARD-FULLBOOK-BBA9C43055,氧疗,,,,,,
detail,DETAIL-BATCH-CARD-CAD-20260623-001-REL-B134E0B674E9,BATCH-CARD-CAD-20260623-001,DIS-CARD-CAD-UA,不稳定型心绞痛,,treated_by_medication,Medication,REL-B134E0B674E9,MED-CARD-TEXT-4E798D0AB2,抗血小板药物,,,,,,
detail,DETAIL-BATCH-CARD-CAD-20260623-001-REL-5162AE0EC7F2,BATCH-CARD-CAD-20260623-001,,,,has_treatment_plan,TreatmentPlan,REL-5162AE0EC7F2,PLAN-CARD-A1C4E6332D38,抗凝治疗,,,,,,
detail,DETAIL-BATCH-CARD-CAD-20260623-001-REL-10EA9FD75838,BATCH-CARD-CAD-20260623-001,DIS-CARD-CAD-UA,不稳定型心绞痛,,treated_by_medication,Medication,REL-10EA9FD75838,MED-CARD-TEXT-EE219280A7,抗凝药物,,,,,,
detail,DETAIL-BATCH-CARD-CAD-20260623-001-REL-8352F6381E69,BATCH-CARD-CAD-20260623-001,DIS-CARD-CAD-UA,不稳定型心绞痛,,treated_by_medication,Medication,REL-8352F6381E69,MED-CARD-DAE0F0B68F1D,他汀类药物,,,,,,
detail,DETAIL-BATCH-CARD-CAD-20260623-001-REL-212D8DA21A4F,BATCH-CARD-CAD-20260623-001,DIS-CARD-CAD-UA,不稳定型心绞痛,,treated_by_medication,Medication,REL-212D8DA21A4F,MED-CARD-E40082221530,血管紧张素转换酶抑制剂,,,,,,
detail,DETAIL-BATCH-CARD-CAD-20260623-001-REL-92D6F9EA70BA,BATCH-CARD-CAD-20260623-001,DIS-CARD-CAD-UA,不稳定型心绞痛,,treated_by_medication,Medication,REL-92D6F9EA70BA,MED-CARD-TEXT-B905AF3E59,血管紧张素Ⅱ受体拮抗剂,,,,,,
detail,DETAIL-BATCH-CARD-CAD-20260623-001-REL-D7F83BFBE6A5,BATCH-CARD-CAD-20260623-001,,,,has_treatment_plan,TreatmentPlan,REL-D7F83BFBE6A5,PLAN-CARD-FULLBOOK-B87D3F557B,溶栓治疗,,,,,,
detail,DETAIL-BATCH-CARD-CAD-20260623-001-REL-2239E03562E9,BATCH-CARD-CAD-20260623-001,,,,has_treatment_plan,TreatmentPlan,REL-2239E03562E9,PLAN-CARD-TEXT-7CC38FBA6F,复律治疗,,,,,,
detail,DETAIL-BATCH-CARD-CAD-20260623-001-REL-CB17103DEFB7,BATCH-CARD-CAD-20260623-001,DIS-CARD-CAD-UA,不稳定型心绞痛,,treated_by_medication,Medication,REL-CB17103DEFB7,MED-CARD-TEXT-28E925C6DE,钙通道阻滞剂,,,,,,
detail,DETAIL-BATCH-CARD-CAD-20260623-001-REL-65F336BA276D,BATCH-CARD-CAD-20260623-001,DIS-CARD-CAD-AMI,急性心肌梗死,,treated_by_medication,Medication,REL-65F336BA276D,MED-CARD-TEXT-B905AF3E59,血管紧张素Ⅱ受体拮抗剂,,,,,,
detail,DETAIL-BATCH-CARD-CAD-20260623-001-REL-B29685F7C467,BATCH-CARD-CAD-20260623-001,DIS-CARD-CAD-AMI,急性心肌梗死,,treated_by_medication,Medication,REL-B29685F7C467,MED-DIURETIC,利尿剂,,,,,,
detail,DETAIL-BATCH-CARD-CAD-20260623-001-REL-8ACDAE571DEC,BATCH-CARD-CAD-20260623-001,,,,treated_by_procedure,Procedure,REL-8ACDAE571DEC,PROC-CARD-TEXT-D2C1F9E289,心脏再同步治疗,,,,,,
detail,DETAIL-BATCH-CARD-CAD-20260623-001-REL-3D6AAA6DBF5F,BATCH-CARD-CAD-20260623-001,DIS-CARD-CAD-AMI,急性心肌梗死,,treated_by_medication,Medication,REL-3D6AAA6DBF5F,MED-AMIODARONE,胺碘酮,,,,,,
detail,DETAIL-BATCH-CARD-CAD-20260623-001-REL-AA312458485B,BATCH-CARD-CAD-20260623-001,DIS-CARD-CAD-AMI,急性心肌梗死,,treated_by_medication,Medication,REL-AA312458485B,MED-CARD-TEXT-4E798D0AB2,抗血小板药物,,,,,,
detail,DETAIL-BATCH-CARD-CAD-20260623-001-REL-A0C295EAE8B5,BATCH-CARD-CAD-20260623-001,,,,has_treatment_plan,TreatmentPlan,REL-A0C295EAE8B5,PLAN-CARD-TEXT-BDE62A3BE0,降压治疗,,,,,,
detail,DETAIL-BATCH-CARD-CAD-20260623-001-REL-8A6D6C132C84,BATCH-CARD-CAD-20260623-001,,,,has_treatment_plan,TreatmentPlan,REL-8A6D6C132C84,PLAN-CARD-A1C4E6332D38,抗凝治疗,,,,,,
detail,DETAIL-BATCH-CARD-CAD-20260623-001-REL-F08CE67AA9DD,BATCH-CARD-CAD-20260623-001,,,,has_treatment_plan,TreatmentPlan,REL-F08CE67AA9DD,PLAN-CARD-FULLBOOK-BBA9C43055,氧疗,,,,,,
detail,DETAIL-BATCH-CARD-CAD-20260623-001-REL-BF27A11DE582,BATCH-CARD-CAD-20260623-001,,,,has_treatment_plan,TreatmentPlan,REL-BF27A11DE582,PLAN-CARD-FULLBOOK-B87D3F557B,溶栓治疗,,,,,,
detail,DETAIL-BATCH-CARD-CAD-20260623-001-REL-4E1D72E59BD9,BATCH-CARD-CAD-20260623-001,DIS-CARD-CAD-AMI,急性心肌梗死,,treated_by_medication,Medication,REL-4E1D72E59BD9,MED-CARD-TEXT-EE219280A7,抗凝药物,,,,,,
detail,DETAIL-BATCH-CARD-CAD-20260623-001-REL-685DD2A9CD83,BATCH-CARD-CAD-20260623-001,,,,has_treatment_plan,TreatmentPlan,REL-685DD2A9CD83,PLAN-CARD-FULLBOOK-B87D3F557B,溶栓治疗,,,,,,
detail,DETAIL-BATCH-CARD-CAD-20260623-001-REL-88E4862FAADB,BATCH-CARD-CAD-20260623-001,DIS-CARD-CAD-STEMI,ST段抬高型心肌梗死,,treated_by_medication,Medication,REL-88E4862FAADB,MED-CARD-TEXT-EE219280A7,抗凝药物,,,,,,
detail,DETAIL-BATCH-CARD-CAD-20260623-001-REL-0D8DD004BD35,BATCH-CARD-CAD-20260623-001,,,,has_treatment_plan,TreatmentPlan,REL-0D8DD004BD35,PLAN-CARD-FULLBOOK-BBA9C43055,氧疗,,,,,,
