disease_code,disease_name,entity_type,name,node_codes,node_count
DIS-CARD-HT-PRIMARY,原发性高血压,Exam,胸部X线,"['CARD-SKELETON-20260709-EXAM-93C0CE477B5767D4', 'EXAM-CARD-D690076CB8EB']",2
DIS-CARD-HT-PRIMARY,原发性高血压,TreatmentPlan,降压治疗,"['PLAN-CARD-TEXT-BDE62A3BE0', 'PLAN-CARD-BDE62A3BE028']",2
DIS-CARD-HT-SECONDARY,继发性高血压,Definition,继发性高血压定义,"['CARD-SKELETON-FULL-20260709-DEFINITION-AFC94581D44522FC', 'DEF-HT-SECONDARY']",2
DIS-CARD-HT-SECONDARY,继发性高血压,Exam,胸部X线,"['CARD-SKELETON-20260709-EXAM-93C0CE477B5767D4', 'EXAM-CARD-D690076CB8EB']",2
DIS-CARD-HT-SECONDARY,继发性高血压,TreatmentPlan,降压治疗,"['PLAN-CARD-TEXT-BDE62A3BE0', 'PLAN-CARD-BDE62A3BE028']",2
DIS-CARD-INFECTIVE-ENDOCARDITIS,感染性心内膜炎,Complication,感染性心内膜炎,"['COMP-CARD-TEXT-4FC74E832A', 'COMP-CARD-4FC74E832AFB']",2
DIS-CARD-INFECTIVE-ENDOCARDITIS,感染性心内膜炎,Complication,猝死,"['COMP-CARD-TEXT-578BE2D590', 'COMP-CARD-578BE2D590E3']",2
DIS-CARD-INFECTIVE-ENDOCARDITIS,感染性心内膜炎,Complication,肺动脉高压,"['COMP-CARD-FULLBOOK-0B4E779BE0', 'COMP-CARD-0B4E779BE011']",2
DIS-CARD-INFECTIVE-ENDOCARDITIS,感染性心内膜炎,Complication,脑卒中,"['COMP-CARD-TEXT-2EDA47E727', 'COMP-CARD-2EDA47E727DD']",2
DIS-CARD-INFECTIVE-ENDOCARDITIS,感染性心内膜炎,Exam,经食管超声心动图,"['EXAM-CARD-705D7CD61EB7', 'EXAM-TEE']",2
DIS-CARD-INFECTIVE-ENDOCARDITIS,感染性心内膜炎,LabTest,C反应蛋白,"['LAB-CARD-TEXT-BF2619C772', 'LAB-CARD-BF2619C772EC']",2
DIS-CARD-INFECTIVE-ENDOCARDITIS,感染性心内膜炎,LabTest,红细胞沉降率,"['LAB-CARD-TEXT-1BE2B3C08B', 'LAB-CARD-1BE2B3C08B76']",2
DIS-CARD-INFECTIVE-ENDOCARDITIS,感染性心内膜炎,LabTest,肌钙蛋白,"['IND-CARDIAC-TROPONIN', 'CARD-SKELETON-20260709-LABTEST-AD6A34F25F521595']",2
DIS-CARD-INFECTIVE-ENDOCARDITIS,感染性心内膜炎,Procedure,瓣膜置换术,"['PROC-CARD-TEXT-6248D2A735', 'PROC-CARD-6248D2A735EC']",2
DIS-CARD-INFECTIVE-ENDOCARDITIS,感染性心内膜炎,RiskFactor,创伤,"['RF-CARD-FULLBOOK-CCD18035D8', 'RF-CARD-CCD18035D80D']",2
DIS-CARD-INFECTIVE-ENDOCARDITIS,感染性心内膜炎,Sign,发绀,"['SIGN-CARD-TEXT-E67B99C5BD', 'SIGN-CARD-E67B99C5BD07']",2
DIS-CARD-INFECTIVE-ENDOCARDITIS,感染性心内膜炎,Symptom,咳嗽,"['SYM-CARD-TEXT-24EDE9C876', 'SYM-CARD-24EDE9C8766A']",2
DIS-CARD-MYOCARDITIS,心肌炎,Complication,感染性心内膜炎,"['COMP-CARD-TEXT-4FC74E832A', 'COMP-CARD-4FC74E832AFB']",2
DIS-CARD-MYOCARDITIS,心肌炎,Complication,猝死,"['COMP-CARD-TEXT-578BE2D590', 'COMP-CARD-578BE2D590E3']",2
DIS-CARD-MYOCARDITIS,心肌炎,Complication,肺动脉高压,"['COMP-CARD-FULLBOOK-0B4E779BE0', 'COMP-CARD-0B4E779BE011']",2
DIS-CARD-MYOCARDITIS,心肌炎,Complication,脑卒中,"['COMP-CARD-TEXT-2EDA47E727', 'COMP-CARD-2EDA47E727DD']",2
DIS-CARD-MYOCARDITIS,心肌炎,Exam,心脏磁共振,"['EXAM-CMR', 'EXAM-CARD-61766890B7D2']",2
DIS-CARD-MYOCARDITIS,心肌炎,Exam,经食管超声心动图,"['EXAM-CARD-705D7CD61EB7', 'EXAM-TEE']",2
DIS-CARD-MYOCARDITIS,心肌炎,Exam,胸部X线,"['CARD-SKELETON-20260709-EXAM-93C0CE477B5767D4', 'EXAM-CARD-D690076CB8EB']",2
DIS-CARD-MYOCARDITIS,心肌炎,LabTest,红细胞沉降率,"['LAB-CARD-TEXT-1BE2B3C08B', 'LAB-CARD-1BE2B3C08B76']",2
