disease,disease_code,plan,plan_code,direct_rel_type,direct_formal_ready,formal_rec_n,plan_downstream_n,plan_evidence_n,downstream_examples
心力衰竭,DIS-CARD-HF,心力衰竭治疗方案,PLAN-CARD-EFF16DE5C7BC,has_treatment_plan,False,0,6,521,"['袢利尿剂', 'β受体阻滞剂', '血管紧张素受体脑啡肽酶抑制剂', '盐皮质激素受体拮抗剂', '钠-葡萄糖协同转运蛋白2抑制剂']"
心力衰竭,DIS-CARD-HF,抗凝治疗,PLAN-CARD-A1C4E6332D38,has_treatment_plan,False,0,6,236,"['抗凝药物', '达比加群酯', '华法林', '利伐沙班', '阿哌沙班']"
心力衰竭,DIS-CARD-HF,氧疗,PLAN-CARD-FULLBOOK-BBA9C43055,has_treatment_plan,False,0,1,4,['吸氧治疗']
心力衰竭,DIS-CARD-HF,溶栓治疗,PLAN-CARD-FULLBOOK-B87D3F557B,has_treatment_plan,False,0,6,1,"['尿激酶', '重组人尿激酶原', '溶栓药物', '替奈普酶', '阿替普酶']"
心力衰竭,DIS-CARD-HF,血运重建,PLAN-CARD-TEXT-EEF9C97B59,has_treatment_plan,False,0,2,10,"['冠状动脉旁路移植术', '经皮冠状动脉介入治疗']"
心力衰竭,DIS-CARD-HF,降压治疗,PLAN-CARD-BDE62A3BE028,has_treatment_plan,False,0,11,349,"['利尿剂', '血管紧张素Ⅱ受体拮抗剂', '钙通道阻滞剂', '血管紧张素Ⅱ受体阻滞剂', '血管紧张素转换酶抑制剂']"
心包炎,DIS-CARD-PERICARDITIS,心包炎治疗方案,PLAN-CARD-03E909B82ACF,has_treatment_plan,,0,4,56,"['经导管二尖瓣缘对缘修复术', '经导管主动脉瓣置换术', '球囊成形术', '经皮球囊二尖瓣成形术']"
心包积液及心脏压塞,DIS-CARD-PERICARD-EFFUSION,复律治疗,PLAN-CARD-TEXT-7CC38FBA6F,has_treatment_plan,False,0,2,70,"['胺碘酮', '电复律']"
心包积液及心脏压塞,DIS-CARD-PERICARD-EFFUSION,抗凝治疗,PLAN-CARD-A1C4E6332D38,has_treatment_plan,False,0,6,236,"['抗凝药物', '达比加群酯', '华法林', '利伐沙班', '阿哌沙班']"
心包积液及心脏压塞,DIS-CARD-PERICARD-EFFUSION,氧疗,PLAN-CARD-FULLBOOK-BBA9C43055,has_treatment_plan,False,0,1,4,['吸氧治疗']
心包积液及心脏压塞,DIS-CARD-PERICARD-EFFUSION,溶栓治疗,PLAN-CARD-FULLBOOK-B87D3F557B,has_treatment_plan,False,0,6,1,"['尿激酶', '重组人尿激酶原', '溶栓药物', '替奈普酶', '阿替普酶']"
心包积液及心脏压塞,DIS-CARD-PERICARD-EFFUSION,穿刺伤、心肌梗死后心肌破裂、心胸外科手术及介入操作造成的冠状动脉穿孔等可造成血性心包积液,CARD-SKELETON-FULL-20260709-TREATMENTPLAN-DAA970FF15656D0D,has_treatment_plan,False,0,0,1,[]
